V200001,V202205 - POST: Most important problems facing the country - mention 1 [text],V202207 - POST: Most important problems facing the country - mention 2 [text],V202209 - POST: Most important problems facing the country - mention 3 [text],V202211 - POST: Most important problems facing the country - most important [text]
200565,the division happening.  demensional shifting is exhausting yet fun.  need the news to offer sone good stories to lift the spirit of the masses.  global anger needs to simmer down with love.,lack of integrity.  our word is our honor code.  compassion is lacking.  common sense no longer exists.,litter in California.  the cities need to create jobs.  stop taxing small home businesses.  go flat tax for all.  enforce litter laws.  get your money from those that break the law not the people who provide for economy.  community farming  band white fructose.,creative thinking
200589,The new president,Where can one begin on our problems?,-9,Biden
200596,"virus, presidential transition",foreign relations,-9,corona virus
200602,Climate Change is dangerous and the government is not doing enough to combat it,News has become too polorizing.  On both sides.,"Facebook, Twitter, and othe social media platforms",Climate Change
200626,lack of integrity and unrest society,president election’s integrity,"covid 19 to people.  it causes anxiety, financial burden and death",integrity
200633,Dealing with the Pandemic.,Access to healthcare,support for higher education,Affordable healthcare
200640,COVID-19unemploymentglobal warming,-9,-1,-1
200671,"Among the many, perhaps the most important is the refusal to agree on verifiable facts.",Income inequality and the tilting of taxes and regulations on favor of the rich and/or corporate entities.,Resurgence of racism.,Healthcare deficiencies.
200695,everything is needing fixed,everything needs fixed,everyrhing needs fixed,poverty
200701,socialists no more to say,-9,-1,-1
200725,Trump not concedeing presidency and causing division. no other president ever acted like a spoiled brat before,covid pandemic,-9,currently covid
200732,"Getting the Covid pandemic under control so we can get back to having functioning lives, economy, etc.",improve healthcare coverage and outcomes,meaningfully work on mitigating climate change,covid pandemic
200749,government is messed up,Donald Trump he is denial,-9,national security
200756,election process,"Covid Pandemic, the politicians are dragging out getting a handle on this problem",-9,election process
200763,Covid.  No clear direction to country.  cases continue to increase,Economy.  Worried about small companies going out of business.  Worried about being laid off,-9,Covid and covid reponse
200770,wealth gap racism,-9,-1,-1
200787,"absence of serious health insurance programs, poverty, xenophobia, MAGA prejudices, sinful lack of international coopération, mistreatment of children -- food, health, imprisonment at the border, complètement disfunctional government with Republicans and their anti-democratic behavior","McConnell's, ultra partisan behavior, controlling the agenda, starking the courts, etc","lack of health protection similar to what exists in Canada, France, England , Germany, etc",hypocricy of Republicans beholden to financial interests and lacking of concern for ordinary ciizens
200794,"Spread of disease, climate change, increasing numbers of poor people (no more middle class) aka: the working poor, number of jobs that provide enough wealth to live on, food supply shortage, cost of healthcare, cost of education, systemic racism, biased news outlets, a two-party system of government that does not allow for other views/parties to break into the mainstream (for example: two-party debates) and has become extrememly divided along those party ideals.",-9,-1,-1
200800,Covid crisis is out of control. No planning.,Economy - How to navigate ecomonmy thought Covid.,Widening wealth gap - Too many people being left behind.,Covid
200817,Race Issues With local and federal police,-9,-1,-1
200824,the division that trump has caused in this country and around the world.,repairing relations with other nations.,the threat to our democracy,the domestic threat to our democracy
200831,Global warming is the most serious issue facing the entire planet,Covid-19 is killing and/or sickening too many of us.,Racism is a persistent element in all areas of our society.,Global warming
200855,"Climate change poses an existential threat to our species, and solving it will be complicated. It's already causing problems for me, like the smoke I breathed all fall.",Widening gap between rich and poor.,Our immigration policy is so bad that it commits crimes against humanity as defined by the UN and breaks international treaties on asylum seeking.,Climate change.
200862,"the wealth gap, systematic racism, criminal justice system, the school system, global warming, health care, student loan debt.",-9,-1,-1
200879,Enviromental degradation,president Trump qnd Republicans,-9,Environmental degradation
200886,covid and our politcal system.  we need to work together.,wealthy and poor.    need more middle class,black lives matter.    too many protests,unity as a country
200893,division between blacks and whites and the police,-9,-1,-1
200909,covid 19 people are dying,race relations,-9,covid 19
200916,"The election resultsCovid 19BLM Constant protests,riots",-9,-1,-1
200947,racism is the biggest problem,-9,-1,-1
200954,race ..people need to accept biracial couples  an gays,Americans who are faceing evictions  rhey need help not out on the streets,"covid , we need to get rid of this virus",covid virus
200985,"The Pandemic  wish masks were mandated and observed People don't follow the rules about social distancing masks gatherings etc ,",Getting the economy back up,Severe political divide in this country /polarization will continue in spite of the outcome of the election,The Pandemic getting the vaccine out
201001,Dishonesty in Media,Dishonesty in Government,We stopped thinking honestly.,Dishonesty
201025,racist  ..we've  of course  had it before but i believe  it got worse  with Donald Trump,-9,-1,-1
201032,division between parties,covid 19 - people not taking it seriously,how the US looks to the world,political division
201063,Politically divided country and media plus almost all news lets don’t report news cirrectly ir fair!,The Left and Democrats wants to make U S into  Socialist country.  They want to take over our entire lives!,Elections being corrupted by the Democrats.  All the illegal voting which is accepted and corrupted by those counting the votes!!!!,Socialists possibly taking over America.
201070,Covid 19 pandemic EconomyHealth Care,police brutality against black people,poverty and homelessness,covid 19
201087,Police Brutality Coronavirus Education,Affordable housing Job security,-9,Police Brutality Numerous people should still be living today Their encounter with police caused them their life
201094,Systemic Racism in all areas of government and education and financial opportunties,EDUCATION on all levels from preschool to college and the financial burden that comes with it.,"Lack of Humanity, Community and UNITY as it relates to each other and our friendly foreign countries. Relationships globally and locally have suffered the last 4 years.",Systemic Racism
201100,money and health care,-9,-1,-1
201117,Covid 19 deaths,police brutality,Black Lives,They are all equal
201124,Donald Trump inciting people over the election and constantly lying about literally everything.,-9,-1,-1
201131,"Hate, rioting, illegal aliens",-9,-1,-1
201155,1. COVID2. Racial Issues3. Tax Increases from Welfare,-9,-1,-1
201179,"I think the conflict and violence we're experiencing is the largest problem we are facing.  People can't just be kind and ""love thy neighbor.""  Elections tend to bring out the worst in people, but this year proved to be worse than anything I've witnessed.  Common courtesy and normal human behavior have completely dissipated. I am continually disappointed with mankind when I turn on the news, and I don't understand why people can't just act like a mensch and treat others the way they would want to be treated.","The global pandemic is the next largest problem because the effects trickle down and impact all areas of our daily lives, and has immensely impacted the economy.",-9,Divide in the country
201186,"covid, violence, economy",-9,-1,-1
201193,Voting fraud and the lefts agenda,the media is lying to the public,-9,The voting fraud!
201209,covid 19 its causing problems with the economy,-9,-1,-1
201216,"riots, anarchy, BLM, ANTIFA....ALL SUCK!",continuing underperformance of black people,"defunding cops is a terrible idea!the ""squad"" is a disease!",a slow decline to third world status
201223,Covid I feel that moreneeds to be done to enforce safety measures.,Health problems. The prescriptions are outof range for many people. Insurancekeeps gettinng higher.,-9,Health insurance
201230,Political Division,Adequately addressing the budget issues in a fiscally responsible manner.,"Racism, Inequality, Fascism, Education, Environment, Extremism, Challenges to democracy.",Environment
201247,covid and the lack of the trump administrations handling of it.,unemployment in the country and lack of help from congress,systemic racism and the need for police reform,covid 19
201254,Getting the Covid-19 pandemic under control in the world.  Getting people to follow safety instructions. Passing 2nd stimulus bill!!!,Systemic racism especially in the southern states needs to be addressed on a federal level.,Affordable healthcare Act should be improved and offered to the public.,Covid-19
201261,Virus & finding a vaccine,-9,-1,-1
201278,corona. virus.  drugs,-9,-1,-1
201285,,,-9,unemployment
201292,Coronavirusequalitypolice corruptness,The economy being beneficial to all...equality,-9,coronavirus
201322,our nation is being divided,-9,-1,-1
201339,liberals and socialists,global pandemic biden presidency,bernie sanders aocnancy pelosi chuck schumer,socialistic agenda
201346,Climate change and how it is affecting humans and the world; need to pass legislation to help save the planet,Employment and the economy; high rate of unemployment and loss of job concerns of Americans due to COVID-19,-9,Climate change
201353,COVID-19 pandemic is keeping us from living a normal life.,-9,-1,-1
201360,"all lives matter,",people who look for any excuse to cause trouble and rioting and get away with it,-9,trouble  makers
201377,Biased reporting by the media.  Media tends to promote their beliefs rather than report only the facts or both sides of an issue.,"Immigration, Illegal immigration should be punished.  Someone entering the US illegally if caught should be barred from ever becoming a citizen.",-9,Media bias
201384,TOO MUCH DIVISION,PANDEMIC IS BEING POORLY MANAGED,-9,PANDEMIC
201391,"election fraud, freedom of speech and religion are under attack, second amendment rights are under attack, abortion",-9,-1,-1
201407,Moral standard,-9,-1,-1
201421,Getting the Covid pandemic under control; stimulating the economy; corruption,Losing restaurants and other businesses; lockdowns,Keeping our military strong,Being weakened by the pandemic
201438,health and jobs,security      climate,-9,health
201445,-9,-1,-1,-1
201469,"covid 19, the spread of this virus.. no vaccine and jobs ..unemployment rate super high",unemployment rate super high and people unable to pay rent,-9,i think the biggest problem is corona virus right now
201476,Covid-19 pandemic,Affordable Care Act,Social Justice,Covid-19 pandemic
201506,"Socialism policies, Immigration, illegal immigrants, taxes",Socialist policies,crime of ANIFA and BLM,Socialist policies
201513,Systematic RascimDiscriminationPolice BrutalitySocial Injustice,-9,-1,-1
201520,Future taxes due to Democrat Presidency,excessive regulations that corrupt businesses,K Harris taking over the US Presidency,Excessive Tegulations
201537,Socialism initiatives put U.S. on path to be a third world country.,The ability to conduct fair and transparent elections.,Influence of big money',Socialism
201544,covid19spread elderly deaths economy effect,country is split between trump followers and biden followers. we need to work on this,-9,the covid-19 needs to be controlled and stopped
201568,racism against all,covid virus,-9,racism
201575,the problem is everyone what to run this country but everyone dont like each color or like to tell someone what to do.  or this person might get more than other.,you cant fix what people do or say ..everyone is out for everyone it jot just we here to help no help..both side talk good game all time..,it hard to say if they help they want at all you have the poor the rich ..the rich going stay on top..poor not an who going help !,them are
201599,division of the people,-9,-1,-1
201605,"political, economic, social injustice/inequality. climate change. covid being handled very poorly",-9,-1,-1
201629,Unity- The country is split in half 50/50,the fear of taxes not that Biden is President Elect,-9,Bringing the country together as one nation
201636,"The fact that over 70 million people voted fir a racist, misogynist, man who lacks empathy.",Need for Election Reform,Racism/ social injustice,The division caused by the current president.
201650,"Equality, racism and money.",Poverty. There is a lot of homeless people and people struggling to survive living ceck by check.,There is too many to think of just one.,Equality
201674,Systemic racism,Corona virus,Police brutality,Systemic racism
201681,"Welfare reform, medicare and social security stability and the national debt",-9,-1,-1
201711,Freedom is no longer in this country.  There should be no fear of violence for speaking how you feel.  Politicians (democrat and republican) are corrupt.  Violence in the streets.  A bunch of babies that don't know how to lose.,People want to depend on the government to take care of them instead of being self reliant.,-9,Violence when people don't like what the other side has to say.
201728,The loss of law and order,-9,-1,-1
201759,wealth inequalityhealthcaredebtlack of social safety netspoor educationreligion based politics,inherent racism,-9,wealth inequality
201766,income inequality.  Health Insurance. Global Warming,the political divide in this country,-9,not sure
201773,COVID 19 response,damage President Trump has done to US in divisiveness,national debt is way too high,recovering from President Trump policies and behavior which encouraged social divide and unrest
201780,Economic growth,"possible, extreme liberal legislation","immigation- unreasonable number of people coming illegally and staying, including many criminals",economy
201797,illegal and recreational drug use is the number one problem / number two is nobody is willing to address the problem/rewarding irresponsible behavior will eventually overload the system.,-9,-1,-1
201803,poverty starving children. homeless children and with poverty often comes child abuse,child abuse.,-9,poverty
201810,immigration and giving too much to these non americans,-9,-1,-1
201827,the covid  it needs to be handeled right away,-9,-1,-1
201834,"COVID,unemployment,children and schools","global warming,politics,Nancy pelosi is a loose cannon",-9,covid
201841,Systemic Racsim,resources and help for the poor,-9,All are equally important
201858,"Racism, Unemployment, Climate Change, Homelessness, and Hunger",No those are the top five that i mentioned,-9,RACISM
201865,donald trump refusing to leave office,-9,-1,-1
201872,"Economic, racial and social inequality.",climate change.,The Supreme Court.,"Income, racial, and social inequality."
201896,Division in society.,"Pandemic, covid-19",-9,"Pandemic, covid-19"
201902,"COVID, Racism, hatred, economy",racism and sexism,-9,racism
201919,Holding a single set of values and acting on them and not saying one thing and acting another way. Integrity — doing what you say that you will do.,Education — putting the students interests ahead of those of the Teacher’s Unions.,Going back to a single legal system — not two systems with one for the people and a different one for the people in power.,Integrity
201971,keeping people locked down during pandemic,taking away peoples rights,-9,-9
201995,The deficit continues to explode while the federal government spends more than it takes in. It is projected that the national debt will exceed GDP in 2021.,"The sense of entitlement projected by all the ""victims"" in our society. Bitching and moaning and pitching a fit, get over it.",Develop a vaccine for the covid 19 virus and get us back to work.,The sense of entitlement
202004,"unemployment, healthcare, global warming, pollution",-9,-1,-1
202011,the favoritism toward socialism.,-1,Socialism,"I prefer as an america to have choice, with the current atmosphere that will not happen with the new leadership."
202042,Healthcare: COVID 19; access to care for allFair and equitable payRace relationsPolitical climate: divided nation,ImmigrationEducationClimate change,Gun rights: need better regulations and less accessRelationships with foreign entities: improvement needed,Healthcare
202097,Elderly medical careSocial Security paying out to those who did not work,Shootings by police why not use a taser to stop instead of shooting,-9,Control by politicians
202103,THE COUNTRY IS TO DIVIDED.,-9,-1,-1
202127,finding jobs and keeping them with all the covid restrictions,"BLM. As a 63 yr old white male, I see this group as a hate group. in my experience most black ppl have more choices and justice than I do.",insurance and the fact it costs more and more and does less,putting one group above another in everything. Which causes more diversity and resentment.
202141,The disregard for the Constitution,-9,-1,-1
202172,corona virus finding a cure,homeless people,health care,corona virus
202189,"Covid,1. The handling of this crisis by our President2. Th lack of compliance a lot of our country has shown for the requested restrictions and wearing of masks.","Covid vaccination availability, Economic Recovery, Racial Divide",-9,Covid
202202,"Expensive, inaccessible healthcare",Income inequality,Over-militarized law enforcement with systemic bigotry issues,Income inequality
202257,immagration must be legal,"socialism , spreading",-9,liberalism
202271,Trump not conceding,"corona virus bringing sickness and death, leaving people out of jobs the economy",possible nuclear problems with Iran,Trump
202288,division among people of opposing view points,-9,-1,-1
202301,the coronavirus pandemic,I believe we have problem withunenployment and Americans losingtheir jobs.,l believe we need going green policyfor  our world climate.,coronavirus pandemic
202318,Economic growth,Foreign Policy  Strengthen our position as leader of the free world,Covid 19,Economic growth
202325,Trump as president,Covid 19,Climate change,covid19
202332,"Economy, pandemic, equality for minorities, climate crisis",-9,-1,-1
202356,i believe that the biggest problem is that we are divided as a country and as people.,-9,-1,-1
202363,"Partesinship, we need to listen to each other and learn to respect each other and work together to solve our problems.",corona virus we need to wear  masks and social distance until there is a vaccine,"global warming we need to join other nations in eliminating emissions, and increasing sustainable energy",bipartisanship would help solve all of them
202370,1.) Information technology2.) Ecological collapse3.) Weapons of mass destruction,Lack of leadershipThe age old problem of greed and self interest,-9,Information technology
202400,"the economy the rich get richer, and the poor get poorer. we need a better balance.people work minimum wage,and can't pass their bills. meanwhile the business owners are sitting on a ton of money.trickle down doesn't work,we have to try a different way","racism is running rampant in our country, and trump eggs it on , and makes it seem ok",covid-19 has not been dealt with,covid-19
202417,covd 19 how neither of the partys work for one cause that's the u s a both should be for u s a and not for either party lets get real people united we stand.,how both partys not forsame thing there out for their party should be all partys should be usa..,-9,covid 19
202431,disrespect/law and order,too many supportive services granted to illegals,-9,disrespect/law and order
202455,"Bias of the Press.censorship by the Press.elite arrogance of the Press.lack of intelligent (educational) news, broadcasting of sensationalism and stupidity",all business dealings with China,"on a different level, Historic Preservation. we are not cherishing our History.","absolutely the Press, journalism, media, social media = all messaging to the public"
202462,covid 19 people are dying and schools are closed buisness is suffiering people are depressed and losing jobs,vice president elect is a socialist i disaprove if her thinking and i think Biden is senile,economy is suffering,covid 19
202479,the shift away from the principles that this country was founded on,illegal immigration,-9,shift away from values our country was founded on
202486,The corona virus,"The economy. Unemployment will be on the rise again due to COVID- 19. Most middle class and poor people, including small businesses will need help from the governement to survive the next wave.",Health Care - People need a government that will make sure that they have help insurance,The coronavirus
202493,Coronavirus! Getting back to normalcy. Safely reopening businesses and schools.,The economy and getting on track during and after the pandemic.,Police reform and reallocation of funds to better deal with issues of race and mental illness throughout their respective communities.,The Coronavirus pandemic.
202516,"Health insurance coverage, economy, unemployment",-9,-1,-1
202523,not giving money to people while closing everything,-9,-1,-1
202530,Covid and the spread through out the U.S.,-9,-1,-1
202547,Covid-19EconomyHealth careRace Relations,A divided nation,-9,Health issues with Covid-19
202578,"Divisiveness. Its ok to have different political ideals. People dont have to be so hateful of a different view. This carries over to everything. Don’t hate, just listen, state your opinion, listen again & take that knowledge home of what the other side thinks/feels, & be respectful.","No. Just divisivness. Be respectful, help each other & live this great life we’rengiven in America",Just divisivness.,Divisivness
202585,I think the biggest problem in this country is this disease that spreading and talk of shutting things down and being without jobs or without money to pay bills it's going to ruin the economy and it's going to put a lot of people in debt especially small business owners,unemployment and Welfare the people that's getting welfare or assistance 90% of them are just too lazy to go out and get a job while the Working Class People don't get any assistance or help because we are considered in a class to where we make too much money help the working people and what I say,-9,I would say this ongoing matter with the disease and rumors and talk of things being shut down again
202592,"racism, police brutality",-9,-1,-1
202608,LA DES UNION ENTRE LAS PERSONAS RACISMOEDUCACION,-9,-1,-1
202615,Racism and bullying.,-9,-1,-1
202622,"The Media,The false claims and everything wrong with the media. I don't have anywhere I trust to get information about the country I live in.",The segregation with the country,-9,The media
202639,The handling of the pandemic.,get kids back in school.,-9,I believe climate change is also important.
202646,"inequality. Growing inequality leading to social tension, poor public health and education.","Healthcare. US spends very large percantage of GDP on healthcare for mediocre outcome. Lack of affordable healthcare makor cause of stress, obstacle to career moves.",violence. Violence widespread in US. Guns too easily available. Police too quick to use violence. Poorer neighborhoods stressful places to live.,Inequality
202653,I believe there are many problems facing this country. A major problem is the amount of illegal immigrants in this country. Another problem facing this country is the rise of Socialism among liberals.,-9,-1,-1
202660,Media misinformation,Lack of appreciation for what we have,Our Senators and Representatives are far more interested in their parties than in they are in our country,Probably our Congress
202677,"The increase in cases of positive Covid tests, hospitalization and death",The lack of cooperation and ability to listen to opposing views,The faltering economy due to restrictions from Covid,Covid 19 increases
202691,"Socialism, the fact that people don't want to work anymore.",Fake News creating a doom and gloom attitude,-9,The push toward Socialism
202707,"economy, socialistic gov, crime, open borders,",-9,-1,-1
202714,The pandemic virus,sense of responsibility for actions,ALL LIVES MATTER,The Virus
202721,covid is now everywhere.,climate control,-9,covid 19
202738,"racism, Response to Covid",immigration reform,-9,covid
202745,The lack of leadership with the pandemic,systemic racism,work towards repair the climate change,the pandemic
202752,The threat of losing our collective trust in the goverment.,Fix immigration and kids being seperated from their parents.,-9,Lack of faith in the government as propigated by Trump
202769,Getting the pandemic under control and getting the vaccine out,Equality for all races and sexes,Fair and ethical immigration laws and upholding the Dreams Act,currently I believe getting the pandemic under control is the most important
202783,"division, a house devided cannot stMd","honesty and integrity amongst our government leaders, work together, less ideology, more compassion",the Corona virus pandemic casing the closing of many small business and schools,"the devisiveness, loss of compassion and attacks caused by ideolgies"
202790,Pandemic in this Country,"Unemployment, Economy",-9,Pandemic
202806,Covid Pandemic. Trump has not provided leadership in attempting to prevent infections. The US leads the world in number of infections and deaths. Blood is on Trump's hands.,Racial Justice. The US has a history of marginalizing people of color. Donald Trump has promoted racism.,"Health Care. Citizens of the US should be entitled to healthcare, and the Federal government should facilitate that entitlement.",Covid. We need healthy people to help our country get back on its feet.
202813,covid 19 pandemic is out of control,the division felt between the citizens of this country. Basically between Trump followers and non followers.,"racism, deeply embedded practices favoring white people.","right now, covid 19 pandemic"
202820,Lack of true education for all citizens.,the COVID pandemic.,-9,Education
202837,Covid 19 not being controlled,-9,-1,-1
202875,-5,-5,-5,-5
202882,-1,-1,-1,-1
202899,everybody wants the govt. to pay for everything.  People need to get to work.  this excludes the time with the virus.,"congress needs to compromise on issues, but cut the the fat out of budget.  No more bridges to nowhere.",Fixed the voting issues.  This no id to vote is not acceptable.,debt
202905,big business and their reach in politics and law,-9,-1,-1
202929,racial equaloity,-9,-1,-1
202936,HEALTH CARE AFFORDABILITY FOR ALL,-9,-1,-1
202943,Covid virus and it's effect on the US economy and possibly a recession,Racism and bigotry that  has divided this country for the past 4 years,Police departments and how they treat minorities  and people of color,"Containing the virus and getting a vaccine out as soon as possible. As of today, it looks promising with a  90 percent success rate"
202950,i think our biggest problem right now is coronavirus and people not taking it seriously.,"Sex trafficking seems to be more of a problem. Being a mom, I have a big concern about this since I have been hearing about it more closer to ny home",-9,"Sex trafficking. While coronavirus is a big issue, I feel like the end is near with a possible 90% effective vaccine by Pfizer."
202967,The 1%Universal Healthcare,-9,-1,-1
202974,Black lives matter and social justice,Police rascisum,-9,equality
202998,nothing off the top of my head,covid 19 sickness,not right now not sure,the covid 19 outbreak
203007,Infiltration of socialism and big tech,"Socialism, big tech companies, health care",-9,Politicians and corporations
203014,The way the coronavirus pandemic has been handled.,Racial justice and the need to support black and indigenous peoples.,-9,The COVID-19 pandemic.
203021,Cost of living and Cost of Healthcare,Public health issues and growth of right wing nationalism,-9,COVID and Health Care
203038,white supremacist militia out in the woods.destruction of the environment we live in,inequalities  in the wealth between the richest and poorest.,"over crowding ,with no place to start over.",the fascist idea's that many seem to embrace.
203045,immagration illegal immagrents,riots far left organizations,protecting our borders,illegals
203069,The political divide is very troubling.  My hope is that Biden can mend this intolerant and toxic divide Getting Covid-19 under control needs to be the number one priority,Mental Health is an epidemic that should be a US priority.,Affordable higher education should be another priority for the US.,Stop the spread of Covid-19!
203090,look weak to other countries. spoiled. government gives free stuff to wrong people - there are more opportunities for employment that people dont try to use or work withCovid. shut dowj the economy but does not enforce everyday people. hurt small and large businesses,-9,-1,-1
203106,Corona Virus pandemicrace issuesnatural disasters,-9,-1,-1
203113,"the respect and division of Americas values for which we stand. we must not be led by faceless computers and begin our own research. we are too lazy as a country to do so, stuck on the fat backs of our politicians running us not us running them.",-9,-1,-1
203137,Political divisiveness,-9,-1,-1
203144,climate crisis- we are not doing enough to help the environment and redude global warming,racial inequality. trying to eliminate systemic racism,the use of social media to spread conspiracy theories,climate
203151,separation.  We are divided.  It is really sad.,I'm very bothered by discrimination.  so sad,-9,discrimination
203168,Covid-19 controlling spread and closing businesses,police shootings of innocent people,the need for another stimulus check for all americans,covid-19 control
203182,"the virus,racism.",white supremacist.,thug life underworld.,our border's
203199,"Environmental destruction, non-renewable resources, short-term greedy thinking, 1% of the world holds 44% of the wealth, division.","Greed, division, unemployment.",-9,Environment
203212,"Pandemic, Economic recovery, education",Divided country on race. Political syetem offers only extremes.,-9,Division
203229,Getting back to some sort of normalcy from COVID.  Opening up businesses in Californiaas well as schools would be a start.,Getting jobs back for those people who have been furloughed because of COVID.,-9,Returning to normalcy.
203236,i think there are to many people with power trying to tell other people what to do,no help for the little guys,no i. cant think of anything else,to much people aith power
203243,"Liberals that are willing to cheat, lie and cover up for their own to gain power. This country wasn't founded to cheat so you always get your way. The media plays right along with it.",Socialist agendas. It's like the government is purposely trying to create an elite class and a poor dependent class. There is no need to close small businesses and allow Wal-mart and Amazon to become wealthier.,-9,Congress! We need term limits.
203267,"Most important problems:  coronavirus, climate change, injusticeTo name just one: coronavirus",climate change,racial injustice,coronavirus
203281,Being divided as a nation.,-9,-1,-1
203298,Being Objective,Inequity. Huge gap between haves and have nots.,-9,Being objective when trying to get along and solve problems
203311,financial issues,Conomy division,Financing economy division,Economy
203328,Lack of protection for women and children!!!!!!!!!!!!!!!!!!!!!!!!! Mistreatment of black individuals. Not taxing the rich enough!!!!!!!!!!! Covid-19 and people not wearing masks.Not caring for the environment!!!!!!!!!!!!!!,"Not providing for the poor, especially with the Pandemic effects.",Allowing Porn on-line!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!,Not providing protection for woman and children.
203342,countries priorities,-9,-1,-1
203359,biden becoming president,racial division,-9,recial division
203366,"The rise of anti-capitalist, progressive Socialists",strong national defense,sovereignty of national borders/border security,progressive socialism on the Left
203380,Socialism! To much government control.,-9,-1,-1
