name,path,,age,belief.in.god,condition_number,contribution,correct.crt.answers,country.of.residence..232.us.,datelastaction,datestarted,decision.time,education,failed.comprehension,faith_in_int,female,how.much.do.you.trust.people.in.your.life,id,income,intuitive.crt.answers,ipaddress,length.of.priming.paragraph,need_for_cog,normalized.contribution,obeyed.time.constraint...1.if.from.condition.without.time.constraint.,physical.lab,prediction.of.others.mean.contribution,previous.experience.w.econ.games..1.none.,primed.for.intuition,primed.for.reflection,priming.paragraph,risk.taking,social.risk.taking,strategy.description,time.delay,time.pressure,time.reading.instructions,time_pred,txtorg_id,us.resident,what.cont.maximizes.group.payoff,what.cont.maximizes.your.payoff
,,166,31,1,10,40,0,54,4/26/12 11:09,4/26/12 10:44,6,6,1,6.9,0,5,1551,5,3,212.92.209.73,12,8.8,1,0,0,na,1,1,0,"i don't know is it intuition or just a coincidence but a few years ago i was out with my friends. all was well but whent it was time to go home and we called the cab (no drinking and driving), i felt uneasy. something in the stomach i can not q",8,4,i believe that people would reason the way i did and make the maximum out of it. and in real life situation i believe there is always someone who needs it more than i do.,0,0,72,na,4cfc3280-7591-11e2-89cc-88532e617cea,0,40,40
,,167,24,10,10,40,2,232,4/26/12 4:26,4/26/12 4:12,6,6,0,3.7,1,4,1452,10,1,76.94.14.174,9,8.7,1,0,0,na,3,1,0,"one time, while i was trying to help my best friend solve a murder case, i found some evidence that could be a clue. however, my best friend said that it wasn't important and dismissed it. he was currently concerned with more 'important' eviden",8,4,i just chose 40 cents since it was the most polite thing to do.,0,0,55,na,4cfc83d4-7591-11e2-89cc-88532e617cea,1,40,0
,,168,31,1,10,20,3,232,4/24/12 3:01,4/24/12 2:45,16,2,0,8.4,0,7,577,4,0,71.61.135.238,12,7.9,0.5,0,0,na,3,1,0,"when i was building my new computer, a generation of new processors had just come out. i read all the articles and things i could about them, but there was really no reviews i could find that weren't biased it seemed. i read all about both bran",8,4.1,"i picked right in the middle cause i trust other people would try to get as much as they could while still saving some for themselves. i think people are generally willing to take a little bit of a gamble to potentially benefit, but would proba",0,0,39,na,4cfcaf30-7591-11e2-89cc-88532e617cea,1,40,0
,,169,22,4,10,0,3,27,4/24/12 11:05,4/24/12 10:50,5,2,0,8.7,0,8,730,1,0,93.157.192.151,8,7.8,0,0,0,na,3,1,0,"last month ago i had a flu. my two friends called me to go drink at their house. i just had a feeling that even though im not that sick i should go and have some fun, since i was already a couple of days in bed. i had a strange feeling that it",9,3.7,based on a feeling that very few people would play for the good of the whole group.,0,0,67,na,4cfcd50a-7591-11e2-89cc-88532e617cea,0,40,0
,,170,26,10,10,40,1,232,4/24/12 17:53,4/24/12 17:40,7,5,1,8,1,2,870,6,1,108.1.204.15,8,7.3,1,0,0,na,3,1,0,when my husband and i were engaged he took a trip with a friend to another state. he was gone for a few days and while away he purchased a few nice items for me. this made me feel okay but it didn't stop the uneasy feeling i had been having. on,6,3.5,"there is no doubt in my mind, heart, or soul that allah (god) exists - i am sure about what i feel and know.",0,0,89,na,4cfd0f2a-7591-11e2-89cc-88532e617cea,1,40,2
,,171,21,7,10,40,1,232,4/23/12 16:55,4/23/12 16:45,7,4,0,7,1,4,258,1,2,173.218.224.212,10,7.2,1,0,0,na,1,1,0,"one time when i was hanging out with friends in high school, one of the girls wanted to go to their boyfriends house. we were all supposed to stay at her house, so we would have to sneak out and hopefully not get caught. some of the girls wante",7,3.5,i would rather contribute and get at least 80 then not contribute at all.,0,0,45,na,4cfd4cce-7591-11e2-89cc-88532e617cea,1,40,0
,,172,42,10,10,0,1,232,4/26/12 9:49,4/26/12 9:25,15,3,1,7.3,1,2,1534,3,1,69.171.164.48,12,7.1,0,0,0,na,3,1,0,"when i felt that a neighbor was mentally unstable, i decided to steer clear of him as much as possible.  as time went on he seemed to become more and more disturbed.  i still treated him kindly and spoke to him when i saw him but that was basic",6,2.3,by realizing that if i kept my .40 i'd make more money in the end.,0,0,72,na,4cfd8540-7591-11e2-89cc-88532e617cea,1,40,40
,,173,20,4,10,0,2,232,4/25/12 18:40,4/25/12 18:27,13,4,0,8.2,1,10,1250,3,1,67.168.86.12,8,9,0,0,0,na,1,1,0,the first time i met my husband i knew there was something special about him. after we went on our first date i knew i wanted to spend the rest of my life with him. normally i would think that it was just infatuation but this seemed different.,1,1.9,"normally i'm a very giving person, but my family really needs money, and every cent counts.",0,0,54,na,4cfdbbbe-7591-11e2-89cc-88532e617cea,1,40,0
,,174,28,3,10,40,0,232,4/28/12 0:20,4/28/12 0:08,9,5,0,7.6,0,8,2035,6,3,24.225.88.6,9,7.9,1,0,0,na,1,1,0,i had a really bad feeling about my last job.  every year sales were declining and there was more and more pressure being put on employees.  suddenly the turnover in the sales department was going up and up.  i had a bad feeling that there was,7,2.9,i trust that people will make the choice to share.,0,0,86,na,4cfdefda-7591-11e2-89cc-88532e617cea,1,40,0
,,175,48,10,10,40,3,232,4/23/12 17:20,4/23/12 17:08,7,5,0,9.4,1,9,274,8,0,75.35.77.175,11,9.4,1,0,0,na,3,1,0,my friend has a cat.  the cat was once feral and has lived indoors since my friend adopted her about a year and a half ago. the cat got out of the house and was missing.  my friend was really upset.  the cat was missing for 3 days when i found,8,3.3,it was better for everyone involved.  i favored the benefit of the group over my own personal gain.,0,0,54,na,4cfe2158-7591-11e2-89cc-88532e617cea,1,40,0
,,176,48,7,10,0,0,232,4/27/12 21:54,4/27/12 21:40,18,4,0,8.1,0,7,2004,6,3,108.132.58.71,9,4.4,0,0,0,na,3,1,0,"i was looking for a job, when i read an ad it seemed interesting. when thinking about the job, i got a good feeling. it just seemed like it would be a great jo. i was interviewed for it. a few days later the company called to offer me the posit",5,2.7,"i figured to play it safe by not contributing, since there was more risk involved. i am not good with math problems, so hard to grasp it.",0,0,59,na,4cfe57fe-7591-11e2-89cc-88532e617cea,1,40,0
,,177,32,10,10,0,2,232,4/26/12 3:18,4/26/12 3:11,7,5,1,6.9,0,8,1432,8,1,98.240.194.67,8,6.5,0,0,0,na,2,1,0,"i was guided by a little voice in my head to go apply for this job. i didn't know anything about taxes, and this was a tax prep job. i asked my mom who knew about the position and she told me to trust my instinct to judge if i could do it. i sh",11,3.5,i did it that way because i wanted to give less and receive more.,0,0,30,na,4cfe9d4a-7591-11e2-89cc-88532e617cea,1,10,40
,,178,64,2,10,40,3,232,4/24/12 1:49,4/24/12 1:38,9,6,0,6.4,1,8,545,8,0,174.49.205.116,9,9.5,1,0,0,na,3,1,0,"at one time, i needed a plumber. my husband was away for the weekend so i was alone. i went to the hardware store to see if i could find a  part i thought i needed. there i met a man who said he was a plumber. he said he would fix my problem. m",3,4.1,i wanted everyone to get the most money.,0,0,51,na,4cfed382-7591-11e2-89cc-88532e617cea,1,40,0
,,179,25,10,10,40,2,38,4/24/12 1:07,4/24/12 0:44,7,5,0,8.6,1,7,526,2,1,99.228.32.33,10,8,1,0,0,na,1,1,0,"after my marriage, when my wife got an opputunity to work in canada, we were in a difficult situation to decide on how to proceed.we thought it was  good chance for us to visit canada.i had a job in my place which is very good.i didn't want to",8,3.1,i  believe in god because i feel i get the hidden power in some situations of my life to go ahead. that makes me believe in god.,0,0,129,na,4cff06c2-7591-11e2-89cc-88532e617cea,0,40,0
,,180,30,7,10,40,0,232,4/25/12 18:08,4/25/12 17:57,6,2,1,7.7,1,8,1236,5,2,99.74.200.166,9,7.2,1,0,0,na,1,1,0,"when i was pregnant with my first daughter, i was driving home one night from a friends house. i was sitting at a red light. same route i always took. when the lights turned green, i felt hesitation. it was just the strangest feeling, but i wen",8,2.2,40 cents is not a lot and why not take the risk in contributing the entire amount-,0,0,43,na,4cff2c10-7591-11e2-89cc-88532e617cea,1,40,40
,,181,27,9,10,20,2,232,4/26/12 0:08,4/25/12 23:56,7,5,0,10,1,4,1349,3,1,67.85.215.228,9,5,0.5,0,0,na,2,1,0,"in college,i lived in an apartment complex.  on the lawn in front of the buildings, a lot of homeless people hung out.  i sometimes gave change, food, or coffee to certain people there.  one day, a man asked me if i could but him a sandwich.  i",3,2.7,i chose half of what i could put in because i figured other people would contribute half or less.,0,0,25,na,4cff4e7a-7591-11e2-89cc-88532e617cea,1,40,0
,,182,23,10,10,26,0,232,4/26/12 0:48,4/26/12 0:26,22,4,1,6.8,1,7,1361,5,3,71.229.59.20,9,8.299999,0.65,0,0,na,1,1,0,there have been many circumstances that i have had to use my first intinct. one example would be figuring out which route to take from work. i place many factors in consideration such as traffic and my overall mood. on this particular night i d,6,2.9,i chose the amount hoping to make more of a profit for myself.,0,0,71,na,4cff7314-7591-11e2-89cc-88532e617cea,1,40,40
,,183,60,10,10,32,2,232,4/25/12 18:48,4/25/12 18:29,33,4,1,7.8,1,3,1251,3,1,63.131.221.188,8,7.2,0.8,0,0,na,3,1,0,most of my intuition has to do with people's character.  i met a man who wanted to date me.  there was something about him i didn't like.  everyone said how nice he was.  he seemed very nice.  i said no and was criticized for it.  later i found,6,3.3,i was in a sharing mood and felt like making it better for the group as a whole.,0,0,51,na,4d0072dc-7591-11e2-89cc-88532e617cea,1,40,2
,,184,45,10,10,40,2,232,4/23/12 23:27,4/23/12 23:01,7,4,0,6.6,0,8,475,3,0,68.205.184.235,8,9.6,1,0,0,na,3,1,0,i was a new employee in a low level position with defined tasks.  my job was to help residential customer only by phone.  one evening i was working with no supervisors present.  i got a call from a business customer who was desperate for help.,9,2.6,i believe this is what the others would do and would have expected me to do also.,0,0,115,na,4d0093a2-7591-11e2-89cc-88532e617cea,1,40,0
,,185,31,1,10,40,2,231,4/26/12 11:45,4/26/12 11:18,7,4,0,4.1,0,9,1556,3,1,92.27.231.160,9,9.8,1,0,0,na,1,1,0,"the only time i use my intuition is when gambling. i only gamble in poker, texas holdem. one time, about a year ago there was a match. i was loosing by quite a lot (fixed stake, chips only). i knew that the other guys luck couldn't hold up much",3,3.4,"hoped that everyone else saw that it was best to contribute, they cant believe they are to only one who didn't.",0,0,67,na,4d00b300-7591-11e2-89cc-88532e617cea,0,40,0
,,186,25,2,10,40,0,232,4/23/12 20:32,4/23/12 20:23,4,2,1,6.4,0,5,412,4,3,173.72.205.181,8,6.4,1,0,0,na,2,1,0,"there i was, in the badwater basin, surrounded by enemies. i was playing medic at the time that it all began. at the beginning of the round i charged up my uber charge to an astounding 100%. i told my heavy partner not to immediately rush out o",8,2.9,to gain the most money.,0,0,50,na,4d00d420-7591-11e2-89cc-88532e617cea,1,40,40
,,187,53,5,10,40,0,232,4/25/12 8:22,4/25/12 7:56,4,6,0,8.5,1,8,1085,5,2,76.247.221.52,22,7.5,1,0,0,na,2,1,0,and needed to complete this.  i felt that the boy had no intention of this and that much of it was for show.  i was almost in reach and focused on his grip of the handle.  it loosened when he was distracted for a split second.  my colleague sp,11,4.1,it felt like the best option and i believed i could do it.,0,0,53,na,4d00f7d4-7591-11e2-89cc-88532e617cea,1,40,0
,,188,23,1,10,0,0,38,4/24/12 21:45,4/24/12 21:36,5,2,0,8.4,0,8,952,6,3,99.252.164.95,9,6.7,0,0,0,na,3,1,0,"back in high school, i had to choose a partner to work on a project with. i didn't know who to choose, but my first instinct was to choose a close friend of mine named colin. colin and i were paired together, and we spent the better part of thr",9,3.6,"i want to profit the most that i can, and i felt that by contributing nothing i would have the best odds of doing so.",0,0,38,na,4d0118c2-7591-11e2-89cc-88532e617cea,0,40,0
,,189,26,5,10,20,0,200,4/27/12 7:23,4/27/12 6:57,34,2,1,9,0,10,1840,1,3,109.182.166.158,8,6.2,0.5,0,0,na,1,1,0,"i was looking for a job that is well paid. but i couldn't get any results. at one time i found one job that i would be happy to have it. my instict were that i would get that job, so i applied for it. and the job was exactly what i wanted. i ha",3,2.9,i thought it was a good decison.,0,0,46,na,4d013988-7591-11e2-89cc-88532e617cea,0,40,20
,,190,25,7,10,40,0,181,4/26/12 10:59,4/26/12 10:28,12,5,1,8,1,3,1547,5,2,128.73.250.191,8,8.799999,1,0,0,na,1,1,0,it was  7 years ago. i was abroad.my friends going to florida.but my intuition said not to go.on the next day there was tornado.friends got in bad situation. first instinct led me in the right direction.after that day i believe in intuition.,7,4.3,high mount that was,0,0,28,na,4d015620-7591-11e2-89cc-88532e617cea,0,40,40
,,191,40,1,10,40,2,232,4/26/12 10:01,4/26/12 9:51,8,5,0,9.1,1,8,1540,5,1,98.246.172.149,8,8,1,0,0,na,1,1,0,"my intuition told me to move overseas when i was in my early twenties.  my family and friends thought i was crazy for doing so.  but i went ahead and moved, alone, to a new country.  i have never regretted it.  i am happier and more comfortable",11,4.2,i believe all people are inherently good.,0,0,36,na,4d0172cc-7591-11e2-89cc-88532e617cea,1,40,0
,,192,20,1,10,10,3,231,4/28/12 2:41,4/28/12 2:22,13,5,0,8.2,0,6,2051,1,0,188.222.225.246,11,9,0.25,0,0,na,1,1,0,"generally, i like to trust my gut instinct when sailing.last summer, very strange conditions presented themselves during the second race of the day. the tide was going in whilst the wind had died down. this meant there were generally two option",8,3.8,i figured 30 cents was a reasonable bonus. i shared 10 and hoped the rest would do something similar so that we all end up with slightly over than 30. i hedged myself with a reasonable amount of the bonus and effectively gambled away the remain,0,0,53,na,4d0190ea-7591-11e2-89cc-88532e617cea,0,40,0
,,193,53,1,10,40,1,232,4/25/12 0:43,4/25/12 0:27,12,5,0,5.2,0,7,1010,10,1,98.154.253.225,9,8.299999,1,0,0,na,2,1,0,"i received information on loft condos that were for sale, as a follow up to a tour of these lofts a few months before. i made an appointment and my partner and i went to the complex for a tour. the sales office was unable to give the tour that",7,2.7,"i chose to do what is in the greatest good of the most people, hoping that others would do the same thing.",0,0,106,na,4d01b21e-7591-11e2-89cc-88532e617cea,1,40,0
,,194,32,10,10,40,0,232,4/26/12 6:48,4/26/12 6:32,9,2,0,7.4,0,1,1499,1,3,108.225.117.106,8,7.8,1,0,0,na,1,1,0,when i went on a blind date with my now spouse. i knew she was the one on our very first date as soon as i picked her up. everything just felt right. it was as if i'd known her my entire life and we were just one. it really sealed it for me whe,4,3.5,i shared all hoping the others did too so we would all earn more.,0,0,124,na,4d01d17c-7591-11e2-89cc-88532e617cea,1,40,0
,,195,58,10,10,10,0,232,4/24/12 2:43,4/24/12 2:14,29,5,1,6.4,1,5,559,5,3,69.246.35.180,10,7.6,0.25,0,0,na,2,1,0,at my job i am a supervisor. we have people renting out or building for their special events. my job is to oversee the rental and make sure that they no the rule's and what they are suppose to being doing. i had a lady who did not wanted to no,8,2.7,born again christian,0,0,203,na,4d01efc2-7591-11e2-89cc-88532e617cea,1,10,6
,,196,20,9,10,40,1,232,4/26/12 12:40,4/26/12 12:27,9,4,0,7.3,1,8,1573,1,2,189.70.225.77,10,5.6,1,0,0,na,2,1,0,"a few months ago, my fiance and i were presented with a network marketing opportunity. although we had preconceived notions about the industry, we decided to give it a listen. i listened with open ears. after the presentation, it just felt like",8,2.8,"i had faith that others would understand the logic behind it and would contribute. if they don't i won't lose much. if they do, i will gain a lot.",0,0,73,na,4d020b92-7591-11e2-89cc-88532e617cea,1,40,0
,,197,66,9,10,6,0,232,4/24/12 6:59,4/24/12 6:44,19,4,1,6.9,1,8,685,6,2,71.178.3.230,8,6.2,0.15,0,0,na,2,1,0,"when i was working at the american embassy in peru. i received a call from the school principal asking me to interview for a job in washington, d.c.    i called made the appointment, took a test after the interview.   a week later  i was called",6,2.9,i just move the slider to the right.,0,0,66,na,4d022bae-7591-11e2-89cc-88532e617cea,1,10,2
,,198,45,7,10,40,0,232,4/27/12 21:14,4/27/12 20:47,22,4,0,4.7,0,4,1996,2,2,67.187.10.7,11,9.5,1,0,0,na,3,1,0,"i remember a time that i was driving on a local rural road. all of a sudden, i got this urge to turn on a side road. i can't explain the reasoning or why this feeling hit me so strong, but i turned. since i am familiar with the area, i proceede",3,3.4,it is just a belief i have.,0,0,72,na,4d0249ae-7591-11e2-89cc-88532e617cea,1,40,0
,,199,19,10,10,10,0,232,4/28/12 0:18,4/28/12 0:00,16,2,1,6.8,1,6,2034,1,3,70.119.86.191,8,6.4,0.25,0,0,na,1,1,0,one time i was talking a walk in the wood. i kept walking and walking and didnt really pay attention to where i was going. after i finally realized i was lost i panicked. after a few minutes i realized this is no time for panic. so i went with,8,3.2,i just asked my self the questions and answered honestly,0,0,101,na,4d0265ce-7591-11e2-89cc-88532e617cea,1,40,2
,,200,31,5,10,40,0,232,4/26/12 5:16,4/26/12 5:05,6,4,0,7.3,0,6,1469,6,1,71.110.197.116,8,6.5,1,0,0,na,1,1,0,"when i was in high school, i went to a party at a random person's house because a friends band was playing. people got way too drunk, and i felt uneasy. i am usually not a nervous type. i was nervous. not 10 minutes after i decided to leave, a",6,3.7,i would rather gamble for the greater good  than be greedy,0,0,53,na,4d028356-7591-11e2-89cc-88532e617cea,1,40,0
,,201,18,6,10,20,0,232,4/26/12 15:50,4/26/12 15:36,17,4,0,5.5,1,6,1619,1,2,169.229.98.65,8,6,0.5,0,0,na,2,1,0,"right now, i am studying in berkeley and so there are times on the weekend that i would go to san francisco and hang out. however, i am terrible with maps and directions in general so there was one time when i was in the business district of sa",4,3.2,"although i knew if i kept the money for myself, i would gain the most amount for myself personally, i was sure that someone might have already done that and it is even less likely that others would contribute their full 40 cents so i decided to",0,0,79,na,4d02a0a2-7591-11e2-89cc-88532e617cea,1,40,0
,,202,34,10,10,2,2,232,4/25/12 17:25,4/25/12 17:07,21,2,0,8,0,9,1222,3,1,107.9.167.237,9,9,0.05,0,0,na,2,1,0,"i was walking home after grabbing a few groceries at the store. i just moved in to the neigborhood and needed a job, but wasn't sure where to begin. since i didn't have anything that would spoil i stopped off at several places on one side of th",8,3.5,"normally, i would be more than happy to risk most of my bonus for something like this as i would have faith in the other people. however, i really need that bonus today so chose not to put much in.",0,0,70,na,4d02c15e-7591-11e2-89cc-88532e617cea,1,40,0
,,203,22,6,10,20,1,100,4/24/12 15:52,4/24/12 15:30,26,5,0,7.1,1,6,822,4,2,14.99.17.246,9,6.7,0.5,0,0,na,1,1,0,i was an engineering graduate and wanted to pursue writing as a career. i wrote a short novel. then came the mighty task of looking for the publication. it was a pretty tough process particularly bcz i wasn't from writing background. my manuscr,8,2.2,i played the middle ground. risking not much.,0,0,114,na,4d02e2ba-7591-11e2-89cc-88532e617cea,0,40,0
,,205,47,6,10,40,0,232,4/27/12 1:52,4/27/12 1:37,6,3,1,6.8,1,9,1798,6,3,97.104.140.46,9,9.4,1,0,0,na,1,1,0,"i used to drive up and down i-95 from jacksonville to ft. lauderdale, fl on a regular basis. every time i passed the palm bay/malabar exit i got a good feeling and it seemed the sign would stand out more than any other on the entire trip. just",9,3.1,wanted to be fair to the other people participating,0,0,49,na,4d031a00-7591-11e2-89cc-88532e617cea,1,40,40
,,206,27,10,10,40,0,232,4/24/12 21:58,4/24/12 21:44,10,5,0,6.2,0,4,959,4,3,75.134.125.204,9,8.5,1,0,0,na,3,1,0,and facebook brought up a list of friends and non-friends that had jesus in their profile. at the top of the list was a woman named janelle. i clicked her profile and it was open and i could see her interests and hobbies and information about,3,2.5,i believe in utilitarianism and what is the most good for the most people.,0,0,73,na,4d0337b0-7591-11e2-89cc-88532e617cea,1,40,0
,,207,27,1,10,40,1,232,4/26/12 5:45,4/26/12 5:27,6,4,0,6,0,9,1481,2,2,98.95.109.25,9,9.8,1,0,0,na,2,1,0,"a few years ago some friends and i were traveling to atlanta, ga to see a concert.  we planned to stay there for two days and one night and needed a place to stay.  we looked at the normal route. hotels/motels/etc.  previously, a friend had men",10,4.1,"i went for the optimistic approach, hoping that the other participants also did what was best for the group as a whole.  if it was a significant amount of money it is very likely i would have chosen differently.",0,0,83,na,4d035628-7591-11e2-89cc-88532e617cea,1,40,0
,,208,41,7,10,30,3,107,4/24/12 5:26,4/24/12 5:09,19,4,0,5.2,0,7,641,4,0,87.12.80.237,9,6.4,0.75,0,0,na,3,1,0,"i was new in gardening, having just gotten my first house with garden. as a result, i was asking for a lot of advice from my more expert neighbours. which plants would be appropriate, when to transplant into the ground and so on. i was told a d",1,2.5,"i sorta hoped verybody involved would have cared for the good of the group, so i gave more than half, while still keeping 25% to have something certain",0,0,40,na,4d037a9a-7591-11e2-89cc-88532e617cea,0,40,0
,,209,28,8,10,40,0,232,4/25/12 3:41,4/25/12 3:28,16,6,1,7.8,1,8,1047,5,2,24.22.114.140,9,5.7,1,0,0,na,3,1,0,"i applied for a job and had an interview with an organization that i admired. i did not get the job, but i was number two in their hiring choice. three months after being rejected for the job, i contacted the organization to ask if i could volu",4,2.9,"i just try to do the nicest or moral thing possible. i know that means that i may get the short end of the stick, but at least i'll feel good about my life choices.",0,0,52,na,4d039bc4-7591-11e2-89cc-88532e617cea,1,40,40
,,210,53,10,10,0,0,232,4/23/12 19:04,4/23/12 18:50,6,2,0,7.4,1,6,366,9,3,216.36.2.132,8,6.3,0,0,0,na,3,1,0,when i was debating on wether to buy a leap pad system or an ipad2.  i wanted something for my daughter to use.  i looked more into the process and decided even though the ipad was more expensive to choose the ipad over the leap pad system.  i,4,2.4,i knew there is god because as a child he answered my prayers.,0,0,48,na,4d03b988-7591-11e2-89cc-88532e617cea,1,40,0
,,211,28,6,10,34,2,232,4/25/12 23:11,4/25/12 22:57,11,4,1,7.4,1,6,1318,6,1,74.192.14.198,10,6.5,0.85,0,0,na,3,1,0,"when i had just moved into a christian dorm for college i knew no one.  school haddent started yet, so i was one of only a few people that had already moved in.  a young man around my age knocked on my door.  at first i thought it was the dorm",6,3.1,"i am hoping other people gave it all, hence making the most money.",0,0,64,na,4d03d954-7591-11e2-89cc-88532e617cea,1,40,20
,,212,23,5,10,0,3,232,4/26/12 18:57,4/26/12 18:46,5,5,0,6,0,4,1697,4,0,98.77.238.65,11,6.3,0,0,0,na,2,1,0,"one time i was invited to hang out with some friends late one night. while i knew some friends, there were additional members of the group whom were new to me, but from their description sounded quite unsavory to me. several were high school dr",4,3.5,i chose the one that would increase my gain the most.,0,0,59,na,4d03f650-7591-11e2-89cc-88532e617cea,1,40,0
,,213,27,10,10,40,0,232,4/28/12 12:05,4/28/12 11:51,5,2,0,9.700001,1,10,2102,1,3,108.65.217.102,8,9.1,1,0,0,na,3,1,0,"i follow my intuition on everything. it's hard to pin point one decision that started that way. one good outcome was finding the love of my life. we met initially in high school, but never kept in contact. meeting him again, i decided to approa",4,3.1,i figured there was nothing to loose so why not give it all- everyone benefits.,0,0,54,na,4d041496-7591-11e2-89cc-88532e617cea,1,40,0
