name,path,,age,belief.in.god,condition_number,contribution,correct.crt.answers,country.of.residence..232.us.,datelastaction,datestarted,decision.time,education,failed.comprehension,faith_in_int,female,how.much.do.you.trust.people.in.your.life,id,income,intuitive.crt.answers,ipaddress,length.of.priming.paragraph,need_for_cog,normalized.contribution,obeyed.time.constraint...1.if.from.condition.without.time.constraint.,physical.lab,prediction.of.others.mean.contribution,previous.experience.w.econ.games..1.none.,primed.for.intuition,primed.for.reflection,priming.paragraph,risk.taking,social.risk.taking,strategy.description,time.delay,time.pressure,time.reading.instructions,time_pred,txtorg_id,us.resident,what.cont.maximizes.group.payoff,what.cont.maximizes.your.payoff
,,12,20,2,8,150,na,232,40641.75903,40641.75486,27,attended college,0,na,1,6,32,"$5,000 or less",na,128.103.240.84,na,na,0.375,1,1,200,na,0,0,,3,na,"i want to walk away with something for sure, and i figured other people were likely to contribute either a little more or a little less than that, so it would probably balance out.",1,0,na,8,fc3e78a8-7590-11e2-b1fd-88532e617cea,1,400,0
,,13,21,3,8,282,na,232,40641.75833,40641.75556,18,attended college,0,na,0,3,35,"$10,001 to $15,000",na,128.103.240.54,na,na,0.705,1,1,282,na,0,0,,3,na,"i thought because all of the students here are harvard students, they would contribute, understanding that we all share some sort of identity, and everyone might contribute for a larger payoff.",1,0,na,19,fc3effd0-7590-11e2-b1fd-88532e617cea,1,400,0
,,14,24,1,8,300,na,232,40641.75903,40641.75556,15,bachelor's degree,1,na,1,6,36,"$5,000 or less",na,128.103.240.74,na,na,0.75,1,1,274,na,0,0,,6,na,"i want to trust that everyone in my group will split the cash in the most even possible way,  but i don't have a lot of hope that they actually will. there's always that one guy.",1,0,na,22,fc3f9562-7590-11e2-b1fd-88532e617cea,1,400,100
,,16,19,2,8,0,na,232,40641.79653,40641.79375,16,high school diploma,1,na,1,7,43,"$50,001 - $65,000",na,128.103.240.73,na,na,0,1,1,50,na,0,0,,3,na,which decision are you talking about?,1,0,na,23,fc408ecc-7590-11e2-b1fd-88532e617cea,1,400,24
,,17,22,2,8,400,na,232,40641.79792,40641.79444,21,attended college,1,na,1,7,45,"$10,001 to $15,000",na,128.103.240.50,na,na,1,1,1,400,na,0,0,,8,na,i have faith that the group as a whole will contribute $4 to allow us to all profit the most. the difference between $4 and $2 is small enough that people won't be so stingy as to keep the group from earning more by himself earning some.,1,0,na,17,fc4101e0-7590-11e2-b1fd-88532e617cea,1,400,200
,,19,21,2,8,400,na,232,40641.8125,40641.80764,17,attended college,1,na,1,8,49,"$35,001 - $50,000",na,128.103.240.64,na,na,1,1,1,400,na,0,0,,5,na,"i have a certain degree of faith in other people's good will. i believe in the greatest good for a majority, and hope that others feel similarly.",1,0,na,26,fc41e984-7590-11e2-b1fd-88532e617cea,1,400,100
,,20,19,10,8,100,na,232,40641.81181,40641.80764,35,attended college,0,na,1,3,52,"$35,001 - $50,000",na,128.103.240.73,na,na,0.25,1,1,200,na,0,0,,4,na,i generally trust ppl but that comes to bite me in the butt a lot so i just played it safe,1,0,na,46,fc424438-7590-11e2-b1fd-88532e617cea,1,400,0
,,21,18,9,8,400,na,232,40641.8125,40641.80764,52,attended college,1,na,1,4,54,"$5,000 or less",na,128.103.240.69,na,na,1,1,1,270,na,0,0,,3,na,i feel like i don't have much to lose.,1,0,na,39,fc42908c-7590-11e2-b1fd-88532e617cea,1,400,400
,,22,19,2,8,0,na,232,40641.81111,40641.80833,22,high school diploma,0,na,0,3,55,"$5,001 to $10,000",na,128.103.240.50,na,na,0,1,1,0,na,0,0,,8,na,"pretty certain that the others will keep their money--at worst we get $6, but if we all three agree we only get $2 more....",1,0,na,27,fc42d736-7590-11e2-b1fd-88532e617cea,1,400,0
,,24,21,3,8,256,na,232,40655.75694,40655.75556,17,attended college,1,na,1,4,58,"$5,000 or less",na,128.103.240.96,na,na,0.64,1,1,286,na,0,0,,3,na,i wanted to protect myself while still contributing to the group.,1,0,na,7,fc4380be-7590-11e2-b1fd-88532e617cea,1,400,170
,,25,23,9,8,0,na,232,40655.75903,40655.75556,20,bachelor's degree,0,na,1,5,59,"$15,001 - $25,000",na,128.103.240.55,na,na,0,1,1,100,na,0,0,,1,na,"since it was only a one-step game, my choice wouldn't influence future payouts from angry group members.",1,0,na,16,fc43e342-7590-11e2-b1fd-88532e617cea,1,400,0
,,26,22,2,8,400,na,232,40655.75903,40655.75556,26,bachelor's degree,1,na,1,5,60,"$25,001 - $35,000",na,128.103.240.54,na,na,1,1,1,350,na,0,0,,5,na,"i made the decision i did based on how much i am usually willing to engage in risky behavior. i am not a big risk-taker, so i did not bet big.",1,0,na,42,fc444864-7590-11e2-b1fd-88532e617cea,1,368,0
,,27,21,2,8,100,na,232,40655.76042,40655.75556,39,high school diploma,0,na,1,4,61,"$10,001 to $15,000",na,128.103.240.79,na,na,0.25,1,1,150,na,0,0,,3,na,"you mean in terms of sharing money with other people? i'm an economist, and i think ultimately the payoff is highest when you give 0. however, if everyone does that, then you all don't get as high payoff. i feel that most people will distrust e",1,0,na,36,fc44b29a-7590-11e2-b1fd-88532e617cea,1,400,0
,,28,19,2,8,100,na,232,40655.76042,40655.75556,28,attended college,0,na,0,4,62,"$50,001 - $65,000",na,128.103.240.111,na,na,0.25,1,1,200,na,0,0,,7,na,"it was the smartest move to make-- by contributing $1 i only get 50 cents in return. i don't know the other people in this scenario. if i liked or trusted them i would've gone all in. but since my actions don't influence theirs, it would've bee",1,0,na,na,fc452e8c-7590-11e2-b1fd-88532e617cea,1,400,0
,,29,22,6,8,200,na,232,40655.75903,40655.75556,30,bachelor's degree,0,na,1,6,63,"$5,001 to $10,000",na,128.103.240.73,na,na,0.5,1,1,100,na,0,0,,4,na,half my bonus in the hope that it would pay off for all of us.,1,0,na,7,fc45a560-7590-11e2-b1fd-88532e617cea,1,400,0
,,30,25,6,8,300,na,232,40655.75972,40655.75625,24,graduate degree,0,na,1,7,64,"$35,001 - $50,000",na,128.103.240.108,na,na,0.75,1,1,260,na,0,0,,7,na,"i assume this question is re: the urns. i felt that once i knew the odds of getting a black ball was greater than chance (50%) in the second urn, i wanted to go with that one.",1,0,na,25,fc460794-7590-11e2-b1fd-88532e617cea,1,400,0
,,31,25,10,8,200,na,232,40655.75833,40655.75625,23,bachelor's degree,0,na,1,6,65,"$5,000 or less",na,128.103.240.76,na,na,0.5,1,1,250,na,0,0,,5,na,would like to help the group but can't completely trust everyone else to do the same.,1,0,na,17,fc4679fe-7590-11e2-b1fd-88532e617cea,1,400,0
,,32,22,5,8,100,na,232,40655.75833,40655.75625,21,bachelor's degree,1,na,0,5,67,"$5,001 to $10,000",na,128.103.240.104,na,na,0.25,1,1,76,na,0,0,,8,na,i didnt want to be too selfish and keep all of the money myself - i felt that others might look at my decision as selfish although it benefits everyone the most.,1,0,na,16,fc46ef74-7590-11e2-b1fd-88532e617cea,1,0,0
,,33,20,7,8,100,na,232,40655.75972,40655.75625,43,attended college,0,na,1,7,69,"$5,000 or less",na,128.103.240.91,na,na,0.25,1,1,100,na,0,0,,3,na,"i didn't want to risk receiving zero, so i chose a contribution amount closer to 1.",1,0,na,20,fc47ba4e-7590-11e2-b1fd-88532e617cea,1,400,0
,,34,23,1,8,0,na,232,40655.75833,40655.75625,11,attended college,0,na,0,2,70,"$10,001 to $15,000",na,128.103.240.85,na,na,0,1,1,0,na,0,0,,9,na,i don't trust other people so i kept all the money to myself,1,0,na,7,fc4859f4-7590-11e2-b1fd-88532e617cea,1,400,0
,,35,19,3,8,0,na,232,40655.75903,40655.75625,37,attended college,0,na,1,6,71,"$5,000 or less",na,128.103.240.82,na,na,0,1,1,10,na,0,0,,1,na,don't want to be the only one to contribute and thus be ripped off. i suspected everyone else did the same.,1,0,na,22,fc490944-7590-11e2-b1fd-88532e617cea,1,400,0
,,36,20,10,8,400,na,232,40655.7625,40655.75625,52,attended college,0,na,0,8,72,"$35,001 - $50,000",na,128.103.240.93,na,na,1,1,1,300,na,0,0,,8,na,"i made the decision to contribute all 400 cents to the group project, because the potential payoff of 8 dollars per person is of greater value to me than is the potential loss of the 400 cents. if the amount of money i was to bet was significan",1,0,na,40,fc49e9cc-7590-11e2-b1fd-88532e617cea,1,400,0
,,37,20,10,8,0,na,232,40655.75903,40655.75625,22,attended college,0,na,0,1,74,"$5,000 or less",na,128.103.240.98,na,na,0,1,1,400,na,0,0,,10,na,"i made the decision i did so that i could receive the highest payoff, because i felt that the other groups members would assume that everyone would play the game fairly.",1,0,na,20,fc4ad77e-7590-11e2-b1fd-88532e617cea,1,400,0
,,38,21,7,8,200,na,232,40655.76111,40655.75625,98,bachelor's degree,0,na,0,4,76,"$5,000 or less",na,128.103.240.80,na,na,0.5,1,1,300,na,0,0,,4,na,i was hoping everyone would donate all of theirs but knew some wouldnt so i kept some of mine. i understand you should do what is right for the group entirely and that will benefit everyone the most but i took a risk.,1,0,na,39,fc4b8f52-7590-11e2-b1fd-88532e617cea,1,400,0
,,39,23,10,8,400,na,232,40655.76042,40655.75625,29,bachelor's degree,0,na,0,4,77,"$50,001 - $65,000",na,128.103.240.103,na,na,1,1,1,400,na,0,0,,4,na,"i know that the highest possible overall payoff occurs when everyone contributes the maximum possible amount ($4). i believe that the other people here are smart and will recognize that, too. i hope, though i cannot be sure, that no one would d",1,0,na,22,fc4c34c0-7590-11e2-b1fd-88532e617cea,1,400,0
,,40,26,2,8,400,na,232,40655.76111,40655.75625,24,bachelor's degree,0,na,1,10,78,"$10,001 to $15,000",na,128.103.240.81,na,na,1,1,1,200,na,0,0,,0,na,i attempted to maximize the group's benefit at risk to my personal benefit because the difference in monetary compensation is acceptably small to me.,1,0,na,na,fc4ccde0-7590-11e2-b1fd-88532e617cea,1,400,0
,,41,18,2,8,0,na,232,40655.80069,40655.79792,20,attended college,0,na,1,2,82,"$5,001 to $10,000",na,128.103.240.64,na,na,0,1,1,222,na,0,0,,4,na,i'd rather bite than be bitten.,1,0,na,na,fc4d56e8-7590-11e2-b1fd-88532e617cea,1,400,0
,,42,25,5,8,252,na,232,40655.80278,40655.79861,36,graduate degree,0,na,1,9,86,"$5,000 or less",na,128.103.240.89,na,na,0.63,1,1,312,na,0,0,,8,na,well i dont like putting the term god to a force i believe exist. i would not label it god,1,0,na,40,fc4dd6c2-7590-11e2-b1fd-88532e617cea,1,400,0
,,43,21,1,8,50,na,232,40655.80278,40655.79861,26,bachelor's degree,0,na,0,3,87,"$10,001 to $15,000",na,128.103.240.52,na,na,0.125,1,1,68,na,0,0,,5,na,"most people are probably loss averse and would not be willing to lose the 4 dollars they gained in a gamble. also, it's in our best incentive to put everything in the pile, but people don't act rationally in these circumstances due to uncertain",1,0,na,49,fc4e343c-7590-11e2-b1fd-88532e617cea,1,400,0
,,44,19,10,8,400,na,232,40655.80208,40655.79861,14,high school diploma,0,na,1,4,88,"$5,000 or less",na,128.103.240.76,na,na,1,1,1,400,na,0,0,,7,na,"i made my decision in the hopes that everyone would give the four dollars to the pool and each person would make $8. i think most would not want to be selfish by keeping the money, especially because $8 is close to $10 (the payout if only that",1,0,na,21,fc4ea728-7590-11e2-b1fd-88532e617cea,1,400,0
,,45,18,10,8,0,na,232,40655.80556,40655.79861,22,high school diploma,0,na,0,3,92,"$5,001 to $10,000",na,128.103.240.104,na,na,0,1,1,300,na,0,0,,3,na,"i know that there is no way to prove the existence of god, but in the same way there is no way to prove that he doesn't exist. so if you're merely playing with probabilities, why wouldn't you choose the decision that has maybe a low probability",1,0,na,38,fc4f176c-7590-11e2-b1fd-88532e617cea,1,400,0
,,46,19,1,8,100,na,232,40655.80208,40655.79861,20,high school diploma,0,na,1,4,93,"$5,000 or less",na,128.103.240.66,na,na,0.25,1,1,50,na,0,0,,0,na,"i assumed that the other players wanted the highest personal payoff and would therefore contribute very little, but at the same time to double their money they would have to invest something.",1,0,na,25,fc4f8210-7590-11e2-b1fd-88532e617cea,1,400,0
,,47,20,1,8,400,na,232,40655.80208,40655.79861,24,attended college,0,na,0,3,97,"$5,000 or less",na,128.103.240.108,na,na,1,1,1,400,na,0,0,,7,na,i am hoping that everyone in the group contributes to maximize overall group earnings.,1,0,na,25,fc4fe6e2-7590-11e2-b1fd-88532e617cea,1,400,0
,,48,20,2,8,0,na,232,40655.80208,40655.79861,45,attended college,1,na,1,6,104,"$5,000 or less",na,128.103.240.94,na,na,0,1,1,190,na,0,0,,8,na,taking a risk and putting faith in the fact that others might not take that same risk.,1,0,na,na,fc503ba6-7590-11e2-b1fd-88532e617cea,1,200,0
,,49,19,1,8,400,na,232,40655.80417,40655.79931,32,high school diploma,0,na,0,7,108,"$5,000 or less",na,128.103.240.74,na,na,1,1,1,300,na,0,0,,6,na,i  looked at a study of this  nature  with professor david laibson  on his course on  psychology  and economics.  it showed that people tend to cooperate in the beginning but then withhold their contributions in later rounds.  since this is the,1,0,na,28,fc508340-7590-11e2-b1fd-88532e617cea,1,400,0
,,50,20,2,8,400,na,232,40655.80625,40655.80208,20,attended college,0,na,1,8,111,"$5,001 to $10,000",na,128.103.240.84,na,na,1,1,1,300,na,0,0,,6,na,"on which part? the first question? i saw the girls with whom i presumably am participating, and since we all want to earn a little cash i hoped we would all be generous in this game, even though it is supposed to be anonymous!",1,0,na,18,fc50d624-7590-11e2-b1fd-88532e617cea,1,400,0
,,51,22,8,8,0,3,232,41015.65417,41015.65,12,attended college,1,5.2,1,4,123,"$15,001 - $25,000",0,128.103.240.80,na,7.5,0,1,1,0,3,0,0,,10,4,"it was a one time interaction so there's no risk of others retaliating in the next round, and i believe that 0 would most benefit me regardless of what the others chose to contribute.",1,0,28,16,fc512494-7590-11e2-b1fd-88532e617cea,1,392,0
,,52,21,1,8,400,3,232,41015.65556,41015.65,24,high school diploma,0,5,0,3,124,"$5,000 or less",0,128.103.240.75,na,8.1,1,1,1,200,1,0,0,,5,2.9,in the small hope that others choose the same decision as me,1,0,28,na,fc516f1c-7590-11e2-b1fd-88532e617cea,1,400,0
,,53,19,4,8,0,3,232,41015.65417,41015.65,21,attended college,0,7.6,0,9,126,"$5,000 or less",0,128.103.240.81,na,8.700001,0,1,1,100,4,0,0,,3,3.5,"profit maximization. my contribution gives me no benefit. it's an asshole move, but...",1,0,47,18,fc51add8-7590-11e2-b1fd-88532e617cea,1,400,0
,,54,22,3,8,0,3,232,41015.65694,41015.65,32,high school diploma,0,4.7,1,4,128,"$50,001 - $65,000",0,128.103.240.78,na,8,0,1,1,120,1,0,0,,2,2.9,to maximize my guaranteed payoff.,1,0,41,54,fc51ee06-7590-11e2-b1fd-88532e617cea,1,400,0
,,55,30,7,8,300,1,232,41015.65833,41015.65,43,bachelor's degree,0,7.2,1,7,130,"$25,001 - $35,000",2,128.103.240.83,na,7.2,0.75,1,1,250,1,0,0,,6,3.1,"i didn't trust that others would contribute the full amount; however, i felt selfish and uncomfortable contributing nothing.",1,0,51,47,fc5229f2-7590-11e2-b1fd-88532e617cea,1,400,0
,,56,22,9,8,200,2,232,41015.65625,41015.65,16,attended college,0,7.4,0,8,134,"$5,000 or less",1,128.103.240.82,na,7.8,0.5,1,1,220,2,0,0,,4,3.4,"i choose 200 because it seemed to be the most safe for me. i was able to contribute to the group, but i was also able to keep some money for myself as well.",1,0,54,20,fc526c5a-7590-11e2-b1fd-88532e617cea,1,400,0
,,57,22,9,8,300,2,232,41015.65833,41015.65,26,high school diploma,1,7.2,0,7,135,"$5,000 or less",1,128.103.240.104,na,7.4,0.75,1,1,250,2,0,0,,6,2.8,"i assumed that most other people would want to maximize the output, but adjust accordingly because of the instance that not everyone would want to forfeit all of their 400 cents.",1,0,60,24,fc52b4c6-7590-11e2-b1fd-88532e617cea,1,400,200
,,58,18,4,8,160,2,232,41015.65625,41015.65069,na,attended college,0,6.3,0,4,138,"$5,000 or less",1,128.103.240.96,na,7.2,0.4,1,1,160,4,0,0,,5,3.5,"i wanted to contribute a decent amount in the event that i was paired with generous members, but still keep enough to walk away with a decent payoff.",1,0,87,19,fc53037c-7590-11e2-b1fd-88532e617cea,1,400,0
,,59,18,3,8,300,2,232,41015.69653,41015.69097,13,high school diploma,1,6,1,6,142,"$5,000 or less",0,128.103.240.79,na,5.8,0.75,1,1,200,3,0,0,,6,2.1,"the last study i did, i contributed a lot while my other group members contributed little, so i'm playing on the safer side today.",1,0,36,8,fc5357e6-7590-11e2-b1fd-88532e617cea,1,400,400
,,60,22,3,8,400,3,232,41015.69583,41015.69167,15,attended college,0,6,0,6,147,"$5,001 to $10,000",0,128.103.240.85,na,8,1,1,1,204,4,0,0,,4,3.2,"it's a small enough amount of money where the social pressure of cooperation is greater than the monetary incentive of a self-serving decision.  also, i like it when i'm pleasantly surprised and other people in the group choose to do the same.",1,0,25,na,fc53a070-7590-11e2-b1fd-88532e617cea,1,400,0
,,61,19,1,8,40,2,232,41015.70278,41015.69167,75,attended college,0,5.1,0,7,156,"$5,000 or less",1,128.103.240.55,na,7.9,0.1,1,1,100,2,0,0,,8,3.5,"i chose to contribute very little to the project because i do not know the people i am in the study with and do not trust that they will act in the interest of everyone in the study. normally i am as generous as possible and trusting, but in th",1,0,77,45,fc53f6ce-7590-11e2-b1fd-88532e617cea,1,400,0
,,62,23,1,8,0,2,232,41015.69722,41015.69236,13,attended college,0,5.4,0,1,157,"$5,000 or less",0,128.103.240.78,na,8.1,0,1,1,180,3,0,0,,8,3.9,don't trust others,1,0,121,33,fc544f8e-7590-11e2-b1fd-88532e617cea,1,400,0
,,63,19,9,8,320,0,232,41019.44653,41019.44236,18,high school diploma,1,5.1,1,6,159,"$5,000 or less",3,128.103.240.52,na,8.4,0.8,1,1,240,3,0,0,,2,3.8,i wanted to find middle ground so if others didn't contribute i would atleast receive something.,1,0,37,16,fc5492c8-7590-11e2-b1fd-88532e617cea,1,400,400
,,64,21,7,8,0,2,232,41019.44583,41019.44236,17,high school diploma,0,6.8,1,5,162,"$5,001 to $10,000",0,128.103.240.96,na,6.6,0,1,1,0,4,0,0,,8,3.2,i wanted to maximize the benefit,1,0,43,23,fc54ded6-7590-11e2-b1fd-88532e617cea,1,400,0
,,65,23,10,8,100,3,232,41019.44722,41019.44236,23,bachelor's degree,1,4.9,1,7,163,"$35,001 - $50,000",0,128.103.240.83,na,9.1,0.25,1,1,100,3,0,0,,8,3.4,"i knew that by contributing more, the total payoff would be increased for everyone. however, i am sure that others would not realize that. thus, i contributed less than i kept, but still contributed.",1,0,43,19,fc5524ae-7590-11e2-b1fd-88532e617cea,1,400,400
,,66,21,1,8,100,3,232,41019.44722,41019.44236,14,attended college,0,6.6,1,2,164,"$50,001 - $65,000",0,128.103.240.77,na,8.799999,0.25,1,1,100,3,0,0,,6,2.9,it was worth a minimal risk that others would make a similar choice and i would receive some benefit,1,0,28,16,fc557c24-7590-11e2-b1fd-88532e617cea,1,400,0
,,67,21,10,8,100,3,232,41019.44792,41019.44236,13,high school diploma,1,9.5,0,5,165,"$5,000 or less",0,128.103.240.78,na,7.4,0.25,1,1,100,3,0,0,,10,4.2,"i feel that most people are not trusting of others in general, so i chose not to contribute the full amount in defense of getting burned.",1,0,37,29,fc55cd00-7590-11e2-b1fd-88532e617cea,1,400,8
,,68,32,10,8,20,0,232,41019.44861,41019.44236,16,bachelor's degree,0,6.8,1,3,171,"$25,001 - $35,000",3,128.103.240.91,na,7.6,0.05,1,1,20,3,0,0,,5,3.2,"i contributed the amount that i did, because i didn't know what the others would decide...but i guessed..",1,0,51,27,fc561e68-7590-11e2-b1fd-88532e617cea,1,400,0
,,69,33,1,8,80,2,232,41019.45,41019.44236,37,bachelor's degree,0,6.8,1,3,176,"$5,000 or less",1,128.103.240.82,na,7,0.2,1,1,42,3,0,0,,2,3.1,i don't trust that other people would contribute very much so i contributed the most that i was willing to part with.,1,0,53,28,fc566ab2-7590-11e2-b1fd-88532e617cea,1,400,0
,,70,22,3,8,200,3,232,41019.45139,41019.44306,67,attended college,0,6.2,1,4,178,"$5,000 or less",0,128.103.240.105,na,8,0.5,1,1,150,3,0,0,,6,3,i thought that was the higher end of the amount that everyone else would contribute and in that case everyone would get more than they donated.,1,0,79,32,fc56b594-7590-11e2-b1fd-88532e617cea,1,400,0
,,71,21,2,8,160,2,232,41019.49097,41019.48333,14,attended college,1,5,1,10,179,"$5,000 or less",1,128.103.240.83,na,8.2,0.4,1,1,190,3,0,0,,8,3.4,"i didn't want to contribute too much below the other participants, who i assumed would be closer to $2.00, but i also wanted to maximize my payout, so i contributed less than what i thought the others might contribute.",1,0,23,17,fc570364-7590-11e2-b1fd-88532e617cea,1,200,0
,,72,24,5,8,0,3,232,41019.49097,41019.48333,17,attended college,0,6,1,7,183,"$50,001 - $65,000",0,128.103.240.81,na,7.7,0,1,1,40,3,0,0,,1,3.3,game theory,1,0,45,48,fc5759ae-7590-11e2-b1fd-88532e617cea,1,400,0
,,73,19,10,8,400,3,232,41019.49097,41019.48333,22,high school diploma,0,6.9,0,7,185,"$5,000 or less",0,128.103.240.88,na,7,1,1,1,400,1,0,0,,3,2.7,"i knew that if everyone contributed 400 cents we would all benefit the most as a whole, each receiving 8. it's not that much of a difference adding 2 dollars individually and then having 2 other people receive less for such a small amount.  als",1,0,38,25,fc57a062-7590-11e2-b1fd-88532e617cea,1,400,0
,,74,21,3,8,0,2,232,41019.48958,41019.48403,22,attended college,0,7.7,1,3,187,"$5,000 or less",1,128.103.240.79,na,8.1,0,1,1,0,4,0,0,,6,2.8,it was in my best interest to keep the money. i don't know the other people and don't trust that they were going to be giving.,1,0,48,29,fc57fd46-7590-11e2-b1fd-88532e617cea,1,400,0
,,75,22,10,8,100,1,232,41019.48958,41019.48403,20,high school diploma,0,7.3,1,5,188,"$5,000 or less",2,128.103.240.105,na,5.4,0.25,1,1,140,2,0,0,,2,2.2,i wanted to contribute a little bit for the group but wanted to keep money because i don't think that everyone in my group will donate anything to the group.,1,0,39,29,fc584ce2-7590-11e2-b1fd-88532e617cea,1,400,0
,,76,21,3,8,100,3,232,41019.48889,41019.48403,14,high school diploma,1,6.2,1,8,189,"$5,000 or less",0,128.103.240.55,na,7.8,0.25,1,1,224,1,0,0,,6,2.5,most of the questions are things that i have thought about before so i felt comfortable answering them,1,0,41,18,fc58a156-7590-11e2-b1fd-88532e617cea,1,200,50
,,77,24,7,8,300,2,232,41019.49097,41019.48403,21,high school diploma,1,6.3,0,7,194,"$5,000 or less",1,128.103.240.85,na,6.4,0.75,1,1,380,1,0,0,,6,3.2,i tried to make some money without risking losing most of it.,1,0,54,33,fc58ed1e-7590-11e2-b1fd-88532e617cea,1,400,350
,,78,22,6,8,400,2,232,41019.49236,41019.48403,38,high school diploma,0,7,1,8,195,"$5,001 to $10,000",1,128.103.240.99,na,7.7,1,1,1,200,1,0,0,,6,3.3,i'm generally trusting of other people,1,0,75,na,fc5934ae-7590-11e2-b1fd-88532e617cea,1,400,0
,,79,21,1,8,100,3,232,41019.48958,41019.48403,35,attended college,0,5.2,1,8,198,"$5,000 or less",0,128.103.240.103,na,7.7,0.25,1,1,150,3,0,0,,7,3.7,"it was a safe amount; because if i lost 50 cents or even 75 cents, it would be much better than if i bet everything and no one else contributed.",1,0,81,19,fc597be4-7590-11e2-b1fd-88532e617cea,1,400,0
,,80,24,10,8,200,2,232,41022.59097,41022.58472,14,bachelor's degree,0,6.5,1,8,199,"$5,001 to $10,000",1,128.103.240.104,na,7.8,0.5,1,1,180,3,0,0,,6,3.3,"felt like being nice to the other people in my group, but saving some money for myself in case others chose 0",1,0,21,19,fc59ccca-7590-11e2-b1fd-88532e617cea,1,400,0
