name,path,age,caseid,female,highest grade completed,ideology,independents,mii_1,mii_2,miiele1_code1,miiele1_code2,miiele1_code3,miiele1_code4,miiele1_code5,miiele1_code6,miiele1_code7,miiele1_code8,miiele2_code1,miiele2_code2,miiele2_code3,miiele2_code4,miiele2_code5,miiele2_code6,miiele2_code7,miiele2_code8,mip_1,mip_2,mippol1_code1,mippol1_code2,mippol1_code3,mippol1_code4,mippol1_code5,mippol1_code6,mippol1_code7,mippol1_code8,mippol1_substantive1,mippol1_substantive2,mippol1_substantive3,mippol1_substantive4,mippol1_substantive5,mippol1_substantive6,mippol1_substantive7,mippol1_substantive8,mippol2_code1,mippol2_code2,mippol2_code3,mippol2_code4,mippol2_code5,mippol2_code6,mippol2_code7,mippol2_code8,mippol2_substantive1,mippol2_substantive2,mippol2_substantive3,mippol2_substantive4,mippol2_substantive5,mippol2_substantive6,mippol2_substantive7,mippol2_substantive8,pid,pid_strong,pid_summary,txtorg_id
,,43,27,2,6,2,3,the immigration,for a reformed immigration,41,,,,,,,,41,,,,,,,,the war in iraq,the economy,3,,,,,,,,3,,,,,,,,50,,,,,,,,50,,,,,,,,4,-1,3,3dfcf086-3386-11e3-a3e4-88532e617cea
,,41,28,1,14,1,-1,qualifications that was the one thing that was taken least consideration in this election,experience,49,,,,,,,,71,,,,,,,,"international affairs its tying up our resources, money ","internal affairs such as poverty,unemployment",8,13,50,,,,,,13,8,50,,,,,,26,27,,,,,,,26,27,,,,,,,1,5,1,3dfd69e4-3386-11e3-a3e4-88532e617cea
,,56,29,1,12,1,-1,border crisis,economy,41,,,,,,,,50,,,,,,,,war in iraq,border too many people coming across undocumented,3,,,,,,,,3,,,,,,,,41,,,,,,,,41,,,,,,,,1,5,1,3dfdfa3a-3386-11e3-a3e4-88532e617cea
,,38,30,1,15,1,5,just getting someone in office who could stimulate confidence and the economy,having a leader that has more family values,49,50,,,,,,,48,64,,,,,,,economy,education,50,,,,,,,,50,,,,,,,,21,,,,,,,,21,,,,,,,,3,-1,2,3dfeb42a-3386-11e3-a3e4-88532e617cea
,,60,31,2,12,2,-1,the economy,immigration,50,,,,,,,,41,,,,,,,,the economy,immigration,50,,,,,,,,50,,,,,,,,41,,,,,,,,41,,,,,,,,2,1,6,3dff5858-3386-11e3-a3e4-88532e617cea
,,78,32,1,12,1,-1,budget crisis,immigration,38,,,,,,,,41,,,,,,,,economy,unemployment,50,,,,,,,,50,,,,,,,,27,,,,,,,,27,,,,,,,,2,1,6,3e0003de-3386-11e3-a3e4-88532e617cea
,,57,33,1,15,1,-1,economy,foreign policy,50,,,,,,,,13,,,,,,,,the new president,economy,48,,,,,,,,48,,,,,,,,50,,,,,,,,50,,,,,,,,2,5,5,3e00a8a2-3386-11e3-a3e4-88532e617cea
,,54,34,1,12,1,5,healthcare,reduction of troops in iraq,24,,,,,,,,3,7,,,,,,,economy,war in iraq,50,,,,,,,,50,,,,,,,,3,,,,,,,,3,,,,,,,,3,-1,2,3e014488-3386-11e3-a3e4-88532e617cea
,,30,35,2,16,2,5,health care,i don't know,24,,,,,,,,95,,,,,,,,awareness,ignorance,71,,,,,,,,71,,,,,,,,71,,,,,,,,71,,,,,,,,3,-1,2,3e01d9de-3386-11e3-a3e4-88532e617cea
,,24,36,2,14,2,1,election would be free of color discriminiation,people would look at the election as politics and not just race,32,49,,,,,,,32,49,,,,,,,international work like with our troops overseas,economy,7,13,,,,,,,13,7,,,,,,,50,,,,,,,,50,,,,,,,,3,-1,4,3e02832a-3386-11e3-a3e4-88532e617cea
,,29,37,1,14,1,5,war,economy,4,,,,,,,,50,,,,,,,,the deficit,war,38,,,,,,,,38,,,,,,,,4,,,,,,,,4,,,,,,,,3,-1,2,3e032cd0-3386-11e3-a3e4-88532e617cea
,,52,38,1,16,1,-1,the economy,the war,50,,,,,,,,4,,,,,,,,economy,the war,50,,,,,,,,50,,,,,,,,4,,,,,,,,4,,,,,,,,1,5,1,3e03d00e-3386-11e3-a3e4-88532e617cea
,,24,39,1,14,1,-1,the economy,the automotive industrt,50,,,,,,,,59,,,,,,,,the job market,alternative fuels,27,,,,,,,,27,,,,,,,,14,,,,,,,,14,,,,,,,,1,5,1,3e046b7c-3386-11e3-a3e4-88532e617cea
,,63,40,1,17,1,-1,war,economy,4,,,,,,,,50,,,,,,,,economy,terrorism,50,,,,,,,,50,,,,,,,,5,,,,,,,,5,,,,,,,,1,5,1,3e050f8c-3386-11e3-a3e4-88532e617cea
,,40,41,2,14,2,-1,healthcare,foreign affairs,24,,,,,,,,13,,,,,,,,the budget,education,38,,,,,,,,38,,,,,,,,21,,,,,,,,21,,,,,,,,1,1,0,3e05b1b2-3386-11e3-a3e4-88532e617cea
,,40,42,1,14,1,3,government,economy,49,,,,,,,,50,,,,,,,,terrorism,keeping safety regulations,5,,,,,,,,5,,,,,,,,7,,,,,,,,7,,,,,,,,3,-1,3,3e062f66-3386-11e3-a3e4-88532e617cea
,,53,43,2,14,2,-1,the budgets,health insurance,38,,,,,,,,24,,,,,,,,budget,unemployment,38,,,,,,,,38,,,,,,,,27,,,,,,,,27,,,,,,,,1,5,1,3e069294-3386-11e3-a3e4-88532e617cea
,,53,44,2,15,2,5,gay and lesbian rights,getting a democrat as the president,68,,,,,,,,48,49,,,,,,,fiscal responsibility,the republicans,50,,,,,,,,50,,,,,,,,48,,,,,,,,48,,,,,,,,4,-1,2,3e06f5a4-3386-11e3-a3e4-88532e617cea
,,46,45,2,17,2,-1,the economy is bad and everything costs more,the war kills many young men,50,54,,,,,,,4,7,,,,,,,the economy,the war,50,,,,,,,,50,,,,,,,,4,,,,,,,,4,,,,,,,,2,1,6,3e075b48-3386-11e3-a3e4-88532e617cea
,,61,46,2,13,2,5,getting bush out,getting a president with intelligence,48,,,,,,,,48,,,,,,,, donotknow ,<dk>,95,,,,,,,,,,,,,,,,95,,,,,,,,,,,,,,,,-8,-1,2,3e07bd72-3386-11e3-a3e4-88532e617cea
,,38,47,1,16,1,-1,the economy,job security,50,,,,,,,,27,,,,,,,,the economy,prosperity in the community,50,,,,,,,,50,,,,,,,,60,,,,,,,,60,,,,,,,,1,1,0,3e085c5a-3386-11e3-a3e4-88532e617cea
,,33,48,1,16,1,5,environment,economy,18,,,,,,,,50,,,,,,,,civil liberties,energy,49,,,,,,,,49,,,,,,,,16,,,,,,,,16,,,,,,,,3,-1,2,3e08efee-3386-11e3-a3e4-88532e617cea
,,49,49,2,16,2,-1,marriage,who the president will be,71,,,,,,,,49,,,,,,,,trying to get along with each other - the politicians,moral decay,47,,,,,,,,47,,,,,,,,64,,,,,,,,64,,,,,,,,2,5,5,3e097c52-3386-11e3-a3e4-88532e617cea
,,28,50,1,14,1,-1,econony,immmigration,50,,,,,,,,41,,,,,,,,economy,immigration,50,,,,,,,,50,,,,,,,,41,,,,,,,,41,,,,,,,,1,5,1,3e0a1b30-3386-11e3-a3e4-88532e617cea
,,59,51,2,17,2,-1,the economy,the war,50,,,,,,,,4,,,,,,,,the economy,world opinion,50,,,,,,,,50,,,,,,,,13,,,,,,,,13,,,,,,,,1,5,1,3e0ab7e8-3386-11e3-a3e4-88532e617cea
,,47,52,1,12,1,5,the economy,the war,50,,,,,,,,4,,,,,,,,financing of the government,the way other countries look at us,38,,,,,,,,38,,,,,,,,13,,,,,,,,13,,,,,,,,3,-1,2,3e0b593c-3386-11e3-a3e4-88532e617cea
,,26,54,2,13,2,5,health care,the economy,24,,,,,,,,50,,,,,,,,healthcare,schools,24,,,,,,,,24,,,,,,,,21,,,,,,,,21,,,,,,,,3,-1,2,3e0c6eee-3386-11e3-a3e4-88532e617cea
,,45,55,2,14,2,-1,changing in leadership of the new president,same,48,,,,,,,,71,,,,,,,,the economy,the war,50,,,,,,,,50,,,,,,,,4,,,,,,,,4,,,,,,,,2,5,5,3e0d02fa-3386-11e3-a3e4-88532e617cea
,,65,56,2,12,2,-1,jobs,people losing houses,27,,,,,,,,28,,,,,,,,recession,immigration,53,,,,,,,,53,,,,,,,,41,,,,,,,,41,,,,,,,,2,5,5,3e0d857c-3386-11e3-a3e4-88532e617cea
,,35,57,1,13,1,3,unemployment,foreign affairs,27,,,,,,,,13,,,,,,,,foreign affairs,the deficit,13,,,,,,,,13,,,,,,,,38,,,,,,,,38,,,,,,,,3,-1,3,3e0e0614-3386-11e3-a3e4-88532e617cea
,,30,59,2,14,2,5,the economy,the war,50,,,,,,,,4,,,,,,,,the economy,the war,50,,,,,,,,50,,,,,,,,4,,,,,,,,4,,,,,,,,3,-1,2,3e0f0f8c-3386-11e3-a3e4-88532e617cea
,,79,60,2,14,2,1,<dk>,<dk>,95,,,,,,,,95,,,,,,,,the economy because it is a mess,the war in afganistan /getting the out inmidiatly i don't know if he can it is a mess too,50,,,,,,,,50,,,,,,,,2,7,,,,,,,2,7,,,,,,,-8,-1,4,3e0f9024-3386-11e3-a3e4-88532e617cea
,,33,61,1,16,1,5,taxes,medical benefits,40,,,,,,,,24,,,,,,,,economy,the war,50,,,,,,,,50,,,,,,,,4,,,,,,,,4,,,,,,,,3,-1,2,3e102c64-3386-11e3-a3e4-88532e617cea
,,61,62,2,13,2,1,the economy,abortion,50,,,,,,,,61,,,,,,,,the economy,thebwar on terror,50,,,,,,,,50,,,,,,,,5,,,,,,,,5,,,,,,,,3,-1,4,3e10b72e-3386-11e3-a3e4-88532e617cea
,,25,63,1,14,1,-1,the economy,the war,50,,,,,,,,4,,,,,,,,the war,rasisim,4,,,,,,,,4,,,,,,,,32,,,,,,,,32,,,,,,,,2,5,5,3e11378a-3386-11e3-a3e4-88532e617cea
,,53,64,1,14,1,5,economy,war,50,,,,,,,,4,,,,,,,,economy,war,50,,,,,,,,50,,,,,,,,4,,,,,,,,4,,,,,,,,3,-1,2,3e11c0b0-3386-11e3-a3e4-88532e617cea
,,28,65,2,17,2,-1,gay marriage,environmental consciousness,68,,,,,,,,17,,,,,,,,confidence in the country,unemployment,49,,,,,,,,49,,,,,,,,27,,,,,,,,27,,,,,,,,1,5,1,3e12481e-3386-11e3-a3e4-88532e617cea
,,28,66,2,17,2,-1,spending less on the military,restoring the economy,1,,,,,,,,50,,,,,,,,our perception by countries abroad,the destruction of our environment,13,,,,,,,,13,,,,,,,,17,,,,,,,,17,,,,,,,,1,1,0,3e12cba4-3386-11e3-a3e4-88532e617cea
,,90,67,1,12,1,-1,the economy,defense of the us,50,,,,,,,,7,,,,,,,,they should be partisan,against religion,47,,,,,,,,47,,,,,,,,64,,,,,,,,64,,,,,,,,2,1,6,3e135452-3386-11e3-a3e4-88532e617cea
,,40,68,1,17,1,-1,"fairness in the ability to have a free and honest election, no voter fraud",gay marriage,49,,,,,,,,68,,,,,,,,the economy,terrorism,50,,,,,,,,50,,,,,,,,5,,,,,,,,5,,,,,,,,1,1,0,3e13d508-3386-11e3-a3e4-88532e617cea
,,66,69,2,17,2,-1,i believe in this election there was a chance to change things,the number of people who got involved and voted,49,97,,,,,,,49,71,,,,,,,getting serious about our proper place in the world and not trying to dominate,providing equal opportunities for all of us,13,,,,,,,,13,,,,,,,,71,,,,,,,,71,,,,,,,,1,1,0,3e1458a2-3386-11e3-a3e4-88532e617cea
,,47,71,2,16,2,5,i believe that our society would be greatly improved with more economic equality and i voted for the democrats even though they are not progressive enough for me and the republicans have worked so hard over the past 8 years widening the gap between rich a,ending the war,48,52,97,,,,,,4,,,,,,,,and poverty,diminishing resources and environmental destruction,26,,,,,,,,26,,,,,,,,18,71,,,,,,,71,18,,,,,,,3,-1,2,3e1589b6-3386-11e3-a3e4-88532e617cea
,,36,72,1,14,1,5,the economy,education,50,,,,,,,,21,,,,,,,,congress not able to resolve any problems we are facing,unemployment,48,49,,,,,,,48,49,,,,,,,27,,,,,,,,27,,,,,,,,5,-1,2,3e161cf0-3386-11e3-a3e4-88532e617cea
,,-9,73,1,14,1,-1,war,abortion,4,,,,,,,,61,,,,,,,,economy,war,50,,,,,,,,50,,,,,,,,4,,,,,,,,4,,,,,,,,1,1,0,3e17113c-3386-11e3-a3e4-88532e617cea
,,51,74,2,14,2,-1,the economy,education,50,,,,,,,,21,,,,,,,,the war,the deficit,4,,,,,,,,4,,,,,,,,38,,,,,,,,38,,,,,,,,1,1,0,3e17d298-3386-11e3-a3e4-88532e617cea
,,36,75,1,12,1,5,no specific issue,no particular issue,95,,,,,,,,95,,,,,,,,the war,i don't know,4,,,,,,,,4,,,,,,,,95,,,,,,,,,,,,,,,,3,-1,2,3e187e28-3386-11e3-a3e4-88532e617cea
,,59,76,1,17,1,-1,diminishing the power of lobbyists and corporate america primarily in energy and health care,the environment,16,24,45,49,,,,,18,,,,,,,,the economy,climate,50,,,,,,,,50,,,,,,,,18,,,,,,,,18,,,,,,,,1,1,0,3e193494-3386-11e3-a3e4-88532e617cea
,,33,77,1,17,1,-1,ending the war in iraq,social justice,3,,,,,,,,37,,,,,,,,achieving social justice,the environment,37,,,,,,,,37,,,,,,,,18,,,,,,,,18,,,,,,,,1,1,0,3e19d778-3386-11e3-a3e4-88532e617cea
,,36,78,1,17,1,5,recovery from the bush administration,the war,48,,,,,,,,4,,,,,,,,recovery from the bush administration,the economy,49,,,,,,,,49,,,,,,,,50,,,,,,,,50,,,,,,,,3,-1,2,3e1a75a2-3386-11e3-a3e4-88532e617cea
,,30,79,2,17,2,-1,the animals law,must be 18 have permission from parents to have an abortion,71,,,,,,,,61,,,,,,,,the unemployment rate,the circulation of the economy,27,,,,,,,,27,,,,,,,,50,,,,,,,,50,,,,,,,,1,1,0,3e1ada10-3386-11e3-a3e4-88532e617cea
,,23,80,1,16,1,-1,the deficit,the economy,38,,,,,,,,50,,,,,,,,separation of church and state,corporate control over washington,49,,,,,,,,49,,,,,,,,49,,,,,,,,49,,,,,,,,1,1,0,3e1b5292-3386-11e3-a3e4-88532e617cea
,,35,81,2,14,2,-1,the economy,prop 8,50,,,,,,,,68,,,,,,,,the economy,housing,50,,,,,,,,50,,,,,,,,28,,,,,,,,28,,,,,,,,1,1,0,3e1bef5e-3386-11e3-a3e4-88532e617cea
,,29,82,1,17,1,1,retirements,none,30,,,,,,,,95,,,,,,,,foreign affairs,economy,13,,,,,,,,13,,,,,,,,50,,,,,,,,50,,,,,,,,3,-1,4,3e1c9ac6-3386-11e3-a3e4-88532e617cea
,,75,83,2,10,2,-1,"a black won to be president, i hope he makes it in there",unemployment and get us out of this mess,48,97,,,,,,,27,71,,,,,,,economy,jobs,50,,,,,,,,50,,,,,,,,27,,,,,,,,27,,,,,,,,1,1,0,3e1d4e9e-3386-11e3-a3e4-88532e617cea
,,36,85,2,16,2,-1,our country's survival in general,the direction that we're going in,71,,,,,,,,71,,,,,,,,iraq,the war on terrorism,3,,,,,,,,3,,,,,,,,5,,,,,,,,5,,,,,,,,2,5,5,3e1eab18-3386-11e3-a3e4-88532e617cea
,,25,86,2,12,2,5,i don't have one,don't have any issue,95,,,,,,,,95,,,,,,,,war,economy,4,,,,,,,,4,,,,,,,,50,,,,,,,,50,,,,,,,,3,-1,2,3e1f49d8-3386-11e3-a3e4-88532e617cea
,,51,87,2,12,2,-1,health insurance,schools,24,,,,,,,,21,,,,,,,,budget,jobs,38,,,,,,,,38,,,,,,,,27,,,,,,,,27,,,,,,,,1,5,1,3e1fe7f8-3386-11e3-a3e4-88532e617cea
,,38,88,1,16,1,-1,moral breakdown that the democrats are willing to accept such as prop 8 which i am against,"the war, do not pull all the troops out",48,61,64,97,,,,,4,7,,,,,,,moral fabric of the country,the economy,64,,,,,,,,64,,,,,,,,50,,,,,,,,50,,,,,,,,2,1,6,3e20832a-3386-11e3-a3e4-88532e617cea
,,53,89,2,14,2,-1,"the change we're going to have in teh economy, i'm curious to see how he's going to fix it","the war , how we're going to get out of war",48,55,97,,,,,,4,7,,,,,,,"trying to get everyone organized an don the same page, they're bitter towards the loss of their candidacy",jobs,49,71,,,,,,,71,49,,,,,,,27,,,,,,,,27,,,,,,,,1,5,1,3e2119a2-3386-11e3-a3e4-88532e617cea
,,27,90,2,15,2,5,prop 8,<dk>,68,,,,,,,,95,,,,,,,,money,<dk>,55,,,,,,,,55,,,,,,,,95,,,,,,,,,,,,,,,,3,-1,2,3e21c21c-3386-11e3-a3e4-88532e617cea
,,33,92,2,13,2,-1,"the military, wanting them to come home",the economy,7,,,,,,,,50,,,,,,,,the budget,the foreclosures,38,,,,,,,,38,,,,,,,,28,,,,,,,,28,,,,,,,,1,5,1,3e22e28c-3386-11e3-a3e4-88532e617cea
,,25,93,1,15,1,-1,health care,taxes,24,,,,,,,,40,,,,,,,,too much government spending,govt putting pressure to give people loans who can't afford them,46,,,,,,,,46,,,,,,,,49,55,,,,,,,49,55,,,,,,,2,1,6,3e236c3e-3386-11e3-a3e4-88532e617cea
,,51,94,1,12,1,1,the budget,social security,38,,,,,,,,29,,,,,,,,"they waste too much money, they tax people too much",discrimination,40,46,,,,,,,46,40,,,,,,,32,,,,,,,,32,,,,,,,,4,-1,4,3e23f7ee-3386-11e3-a3e4-88532e617cea
,,46,95,2,14,2,-1,schools,economy,21,,,,,,,,50,,,,,,,,economy,war in iraq,50,,,,,,,,50,,,,,,,,3,,,,,,,,3,,,,,,,,1,5,1,3e248808-3386-11e3-a3e4-88532e617cea
,,24,96,1,14,1,5,gas prices,<dk>,15,,,,,,,,95,,,,,,,,terrorism,deficit,5,,,,,,,,5,,,,,,,,38,,,,,,,,38,,,,,,,,5,-1,2,3e2518e0-3386-11e3-a3e4-88532e617cea
,,28,98,2,14,2,-1,proposition 8 same gender marriage,economy,68,,,,,,,,50,,,,,,,,economy,global warming,50,,,,,,,,50,,,,,,,,17,,,,,,,,17,,,,,,,,1,5,1,3e2623f2-3386-11e3-a3e4-88532e617cea
,,45,99,1,13,1,-1,proposition 8,proposition 4//parental notification of minors seeking abortions,68,,,,,,,,61,,,,,,,,the economy,"nationjal security, terrorism",50,,,,,,,,50,,,,,,,,5,,,,,,,,5,,,,,,,,2,1,6,3e26ae76-3386-11e3-a3e4-88532e617cea
,,55,101,1,17,1,5,barack obama's education,mccain's patriotism,48,,,,,,,,48,,,,,,,,the military involvement overseas,involvement in war,7,,,,,,,,7,,,,,,,,4,,,,,,,,4,,,,,,,,3,-1,2,3e27bdd4-3386-11e3-a3e4-88532e617cea
,,23,103,2,12,2,1,1st black president and i am excited for him,that he won over a white man,48,97,,,,,,,48,,,,,,,,unemployment,education,27,,,,,,,,27,,,,,,,,21,,,,,,,,21,,,,,,,,3,-1,4,3e28cb34-3386-11e3-a3e4-88532e617cea
